x,y
-54.18612671,1
-52.84526062,2
-50.16352844,1
-48.82265854,3
-47.48179245,1
-46.14092636,3
-44.80006027,5
-43.45919418,1
-42.11832809,6
-40.77746201,2
-39.43659592,11
-38.09572601,9
-36.75485992,20
-35.41399384,32
-34.07312775,33
-32.73226166,33
-31.39139557,49
-30.05052757,73
-28.70966148,71
-27.36879539,96
-26.02792931,128
-24.68706131,175
-23.34619522,198
-22.00532913,276
-20.66446304,333
-19.32359505,427
-17.98272896,548
-16.64186287,681
-15.30099583,835
-13.96012974,1093
-12.6192627,1329
-11.27839661,1613
-9.93752956,2002
-8.59666348,2578
-7.25579643,3222
-5.91493034,4045
-4.5740633,5182
-3.23319697,6407
-1.89233041,8214
-0.55146384,12974
0.78940272,19837
2.13026929,11591
3.47113585,8683
4.81200218,7383
6.15286922,6262
7.49373531,5412
8.83460236,4581
10.17546844,3954
11.51633549,3448
12.85720158,2890
14.19806862,2449
15.53893471,2140
16.8798008,1864
18.22066879,1639
19.56153488,1477
20.90240097,1185
22.24326706,1042
23.58413506,877
24.92500114,789
26.26586723,636
27.60673332,573
28.94760132,497
30.28846741,433
31.6293335,357
32.97019958,317
34.31106567,275
35.65193176,213
36.99280167,193
38.33366776,153
39.67453384,153
41.01539993,123
42.35626602,100
43.69713211,72
45.0379982,73
46.37886429,74
47.71973419,55
49.06060028,41
50.40146637,34
51.74233246,27
53.08319855,27
54.42406464,28
55.76493073,20
57.10579681,10
58.44666672,13
59.78753281,11
61.1283989,6
62.46926498,3
63.81013107,4
65.15100098,3
66.49186707,4
67.83273315,1
69.17359924,4
71.85533142,3
73.19619751,1
74.5370636,1
75.87792969,1
79.90052795,1
