x,y
-54.16817093,1
-52.89271545,1
-50.34181213,1
-47.790905,1
-46.51545334,1
-45.23999786,4
-43.9645462,4
-42.68909454,5
-41.41363907,4
-40.13818741,4
-38.86273575,6
-37.58728027,10
-36.31182861,14
-35.03637695,20
-33.76092148,21
-32.48546982,20
-31.21001625,27
-29.93456459,39
-28.65911102,55
-27.38365746,75
-26.1082058,84
-24.83275223,112
-23.55729866,137
-22.28184509,153
-21.00639343,238
-19.73093987,257
-18.4554863,352
-17.18003464,427
-15.90458107,558
-14.62912846,699
-13.35367489,919
-12.07822227,1023
-10.80276966,1331
-9.52731609,1629
-8.25186348,2013
-6.97641039,2529
-5.7009573,3136
-4.42550421,4030
-3.15005136,5227
-1.8745985,7037
-0.59914547,13235
0.6763075,38347
1.95176053,12395
3.22721338,7698
4.50266647,6052
5.77811956,5090
7.05357218,4110
8.32902527,3596
9.60447788,3026
10.87993145,2598
12.15538406,2240
13.43083763,1897
14.70629025,1698
15.98174286,1406
17.25719643,1281
18.53264999,1086
19.80810165,947
21.08355522,858
22.35900879,756
23.63446045,621
24.90991402,553
26.18536758,449
27.46081924,404
28.73627281,344
30.01172638,299
31.28717804,257
32.56263351,215
33.83808517,166
35.11353683,145
36.38899231,135
37.66444397,110
38.93989563,98
40.2153511,65
41.49080276,58
42.76625443,53
44.0417099,48
45.31716156,37
46.59261322,27
47.8680687,29
49.14352036,31
50.41897202,23
51.69442749,14
52.96987915,17
54.24533081,9
55.52078629,3
56.79623795,4
58.07168961,8
59.34714508,2
60.62259674,4
61.8980484,5
63.17350388,2
64.44895935,2
69.55076599,1
72.10167694,2
73.3771286,1
