x,y
-75.25409698,2
-65.60996246,7
-55.96582413,19
-46.32168961,52
-36.67755508,106
-27.03341866,335
-17.38928413,1245
-7.74514818,5480
1.89898729,66344
11.54312325,19918
21.18725777,6950
30.8313942,2748
40.47552872,1016
50.11966324,364
59.76380157,133
69.4079361,35
79.05207062,27
88.69620514,13
98.34033966,7
107.98447418,7
117.62861633,6
127.27275085,3
136.91688538,3
146.5610199,1
156.20515442,1
175.49342346,1
185.13755798,2
204.42582703,1
214.06996155,1
223.71409607,1
233.35824585,1
262.29064941,1
329.79959106,1
339.44372559,1
368.37612915,1
397.30853271,1
493.74990845,1
522.68231201,1
541.97058105,1
609.47949219,1
628.76782227,1
889.15942383,1
