x,y
-20.95561028,1
-18.42415047,1
-17.15842056,2
-15.89269161,3
-15.47078133,2
-15.04887104,3
-14.62696171,6
-14.20505142,3
-13.78314209,6
-13.3612318,7
-12.93932152,3
-12.51741219,11
-12.0955019,13
-11.67359257,22
-11.25168228,28
-10.829772,32
-10.40786266,35
-9.98595238,42
-9.56404305,67
-9.14213276,74
-8.72022247,98
-8.29831314,139
-7.87640333,170
-7.45449305,221
-7.03258324,277
-6.61067343,343
-6.18876362,385
-5.76685381,540
-5.34494352,688
-4.92303371,881
-4.50112391,1105
-4.0792141,1409
-3.65730405,1709
-3.23539424,2261
-2.81348443,2978
-2.39157438,3806
-1.96966457,4734
-1.54775465,5880
-1.12584472,7398
-0.70393485,9164
-0.28202498,10715
0.13988493,11905
0.56179482,11085
0.98370475,9807
1.40561461,7866
1.82752454,6520
2.24943447,5074
2.67134428,4222
3.09325433,3308
3.51516414,2613
3.93707395,2094
4.35898399,1630
4.7808938,1228
5.20280361,971
5.62471342,746
6.04662371,605
6.46853352,544
6.89044333,415
7.31235313,304
7.73426294,259
8.15617275,193
8.57808304,131
8.99999237,149
9.42190266,99
9.84381294,72
10.26572227,63
10.68763256,50
11.10954189,36
11.53145218,44
11.95336246,25
12.3752718,18
12.79718208,22
13.21909142,16
13.6410017,17
14.06291199,7
14.48482132,4
14.90673161,6
15.32864094,13
15.75055122,4
16.17246056,3
16.5943718,1
17.01628113,3
17.43819046,1
17.86009979,4
18.28201103,2
18.70392036,1
19.54774094,1
19.96965027,1
20.3915596,2
20.81347084,1
21.23538017,2
