x,y
-266.3659668,1
-245.24104309,1
-224.11613464,1
-210.03285217,2
-202.99121094,1
-195.9495697,2
-188.90794373,3
-167.78302002,1
-160.74137878,2
-153.69975281,6
-146.65811157,3
-139.61647034,4
-132.5748291,3
-125.5331955,9
-118.49155426,12
-111.44991302,16
-104.40827942,24
-97.36663818,24
-90.32500458,33
-83.28336334,48
-76.24172211,60
-69.2000885,99
-62.15844727,138
-55.11680984,221
-48.07517242,339
-41.03353119,579
-33.99189377,1021
-26.95025635,1978
-19.90861702,3543
-12.8669796,6660
-5.82534075,13220
1.21629763,27510
8.25793648,24497
15.2995739,13624
22.34121323,8386
29.38285065,5416
36.42448807,3274
43.4661293,2074
50.50776672,1292
57.54940414,944
64.59104156,664
71.6326828,468
78.67431641,366
85.71595764,279
92.75759888,233
99.79923248,184
106.84087372,150
113.88251495,127
120.92414856,79
127.96578979,84
135.00743103,74
142.04907227,72
149.09069824,44
156.13233948,36
163.17398071,39
170.21562195,22
177.25726318,24
184.29888916,25
191.3405304,11
198.38217163,24
205.42381287,12
212.4654541,9
219.50708008,6
226.54872131,2
233.59036255,14
240.63200378,1
247.67364502,4
254.71528625,6
261.75692749,6
268.79855347,1
275.84017944,3
282.88183594,2
289.92346191,3
296.96511841,2
304.00674438,1
311.04840088,2
325.13165283,2
381.46478271,1
416.67297363,1
423.71459961,1
437.79788208,1
