x,y
-74.94979858,1
-73.26637268,1
-71.58294678,1
-69.8995285,1
-68.2161026,4
-66.5326767,3
-64.84925079,5
-63.16582489,5
-61.4824028,4
-59.7989769,9
-58.11555099,9
-56.43212891,6
-54.748703,10
-53.0652771,18
-51.38185501,20
-49.69842911,30
-48.0150032,21
-46.3315773,39
-44.64815521,42
-42.96472931,60
-41.28130341,54
-39.59788132,71
-37.91445541,83
-36.23102951,107
-34.54760742,127
-32.86418152,151
-31.18075752,213
-29.49733162,260
-27.81390762,294
-26.13048172,402
-24.44705772,427
-22.76363373,619
-21.08020782,696
-19.39678383,910
-17.71335983,1123
-16.02993393,1328
-14.34650993,1639
-12.66308498,2041
-10.97966003,2571
-9.29623508,3150
-7.61281061,3904
-5.92938614,4658
-4.24596119,5542
-2.56253672,6716
-0.87911189,8073
0.80431283,9087
2.48773766,9347
4.17116213,8942
5.85458708,7993
7.53801155,7240
9.2214365,6271
10.90486145,5513
12.58828545,4654
14.2717104,3934
15.95513535,3484
17.63855934,2877
19.32198524,2461
21.00540924,2054
22.68883324,1819
24.37225914,1450
26.05568314,1297
27.73910904,1072
29.42253304,861
31.10595703,732
32.78938293,641
34.47280884,495
36.15623093,435
37.83965683,321
39.52308273,301
41.20650482,253
42.88993073,215
44.57335663,169
46.25677872,146
47.94020462,134
49.62363052,124
51.30705261,103
52.99047852,86
54.67390442,67
56.35732651,45
58.04075241,48
59.72417831,37
61.40760422,36
63.09102631,31
64.77445221,23
66.45787811,20
68.14130402,18
69.82472229,9
71.50814819,7
73.1915741,5
74.875,1
79.92527771,4
81.60869598,2
83.29212189,4
84.97554779,1
88.3423996,1
91.70924377,2
93.39266968,1
