x,y
-88.31755066,1
-68.50032043,1
-66.51860046,2
-64.53688049,3
-62.55515289,2
-60.57343292,2
-58.59170914,2
-56.60998535,2
-54.62826157,4
-52.6465416,7
-50.66481781,5
-48.68309402,22
-46.70137405,16
-44.71965027,40
-42.73792648,36
-40.7562027,46
-38.77448273,77
-36.79275894,107
-34.81103516,115
-32.82931519,140
-30.8475914,210
-28.86586761,266
-26.88414574,323
-24.90242195,420
-22.92070007,593
-20.93897629,764
-18.95725441,1041
-16.97553253,1393
-14.99380875,1972
-13.01208591,2733
-11.03036308,3476
-9.0486412,4930
-7.0669179,6594
-5.08519554,8939
-3.10347271,11718
-1.12174988,15769
0.85997277,20272
2.84169555,15152
4.82341814,11356
6.80514097,8817
8.78686333,6746
10.76858616,5013
12.75030899,3882
14.73203182,2948
16.71375465,2211
18.69547653,1708
20.67720032,1250
22.6589222,996
24.64064598,769
26.62236786,544
28.60409164,363
30.58581352,262
32.5675354,172
34.54925919,136
36.53098297,96
38.51270294,86
40.49442673,56
42.47615051,41
44.4578743,27
46.43959427,21
48.42131805,10
50.40304184,14
52.38476181,8
54.3664856,3
56.34820938,6
58.32993317,5
60.31165314,3
62.29337692,2
64.27510071,3
66.25682068,2
68.23854828,1
70.22026825,2
82.11060333,2
84.0923233,1
86.0740509,1
94.00093842,1
105.8912735,1
109.85472107,1
