x,y
-73.75587463,1
-62.42392731,1
-56.75795364,2
-55.34146118,3
-53.9249649,2
-52.50847244,2
-51.09197998,3
-49.67548752,5
-48.25899124,4
-46.84249878,8
-45.42600632,7
-44.00951385,14
-42.59302139,11
-41.17652512,22
-39.76003265,21
-38.34354019,25
-36.92704773,22
-35.51055145,45
-34.09405899,54
-32.67756653,70
-31.26107407,80
-29.8445797,100
-28.42808723,152
-27.01159286,166
-25.5951004,209
-24.17860603,251
-22.76211357,316
-21.34562111,430
-19.92912674,505
-18.51263428,590
-17.09613991,800
-15.67964745,997
-14.26315403,1267
-12.84666061,1660
-11.4301672,2100
-10.01367378,2662
-8.59718037,3294
-7.18068743,4366
-5.76419401,5691
-4.3477006,7292
-2.93120742,8924
-1.51471424,11191
-0.09822088,13252
1.31827235,13692
2.73476577,10878
4.15125895,9202
5.56775236,7279
6.98424578,5879
8.40073872,4558
9.81723213,3611
11.23372555,2869
12.65021896,2147
14.06671238,1763
15.4832058,1311
16.89969826,1025
18.31619263,850
19.73268509,639
21.14917946,508
22.56567192,418
23.98216438,297
25.39865875,234
26.81515121,225
28.23164558,173
29.64813805,117
31.06463242,90
32.48112488,73
33.89761734,54
35.3141098,52
36.73060608,43
38.14709854,38
39.563591,33
40.98008347,26
42.39657974,26
43.8130722,26
45.22956467,10
46.64605713,9
48.06254959,8
49.47904587,4
50.89553833,11
52.31203079,1
53.72852325,3
55.14501953,6
56.56151199,2
63.64397812,1
67.89345551,1
