x,y
-57.64766693,1
-55.2232666,2
-54.01106644,1
-52.79886627,1
-50.37446594,4
-49.16226578,1
-47.9500618,4
-46.73786163,8
-45.52566147,2
-44.3134613,8
-43.10126114,8
-41.88906097,10
-40.67686081,16
-39.46466064,17
-38.25245667,19
-37.0402565,20
-35.82805634,34
-34.61585617,33
-33.40365601,38
-32.19145584,58
-30.97925377,83
-29.7670536,81
-28.55485344,88
-27.34265327,140
-26.1304512,171
-24.91825104,165
-23.70605087,255
-22.49385071,285
-21.28164864,350
-20.06944847,458
-18.85724831,636
-17.64504814,678
-16.43284607,869
-15.2206459,1007
-14.00844574,1311
-12.79624462,1560
-11.58404446,2026
-10.37184334,2531
-9.15964317,2978
-7.94744205,3647
-6.73524189,4572
-5.52304077,5691
-4.31084061,6848
-3.09863973,8269
-1.88643909,9962
-0.67423844,12015
0.5379622,15726
1.75016284,11602
2.96236348,9074
4.17456436,7412
5.38676453,6030
6.59896564,5074
7.81116581,4090
9.02336693,3328
10.23556709,2639
11.44776821,2110
12.65996838,1771
13.87216949,1403
15.08436966,1141
16.29656982,895
17.5087719,713
18.72097206,590
19.93317223,496
21.14537239,436
22.35757446,346
23.56977463,230
24.78197479,198
25.99417496,194
27.20637703,115
28.41857719,109
29.63077736,97
30.84297752,63
32.0551796,72
33.26737976,55
34.47957993,45
35.69178009,29
36.90398026,36
38.11618042,24
39.3283844,23
40.54058456,21
41.75278473,6
42.96498489,10
44.17718506,9
45.38938522,10
46.60158539,7
47.81378555,5
49.02598953,4
50.2381897,3
51.45038986,4
52.66259003,4
53.87479019,2
55.08699036,2
56.29919052,3
58.72359467,1
61.147995,1
63.57239532,1
