x,y
-67.33193207,1
-56.70740128,1
-55.37933731,1
-54.05126953,1
-52.72320557,1
-51.39513779,1
-50.06707382,2
-48.73900604,1
-47.41094208,4
-46.0828743,5
-44.75481033,5
-43.42674255,12
-42.09867859,12
-40.77061081,14
-39.44254684,18
-38.11447906,20
-36.7864151,35
-35.45834732,51
-34.13027954,59
-32.80221558,76
-31.4741497,94
-30.14608383,133
-28.81801796,153
-27.48995209,174
-26.16188622,258
-24.83381844,333
-23.50575256,391
-22.17768669,481
-20.84962082,579
-19.52155495,685
-18.19348907,904
-16.8654232,1067
-15.53735733,1399
-14.20929146,1570
-12.88122559,1929
-11.55315971,2355
-10.22509384,2885
-8.89702702,3382
-7.56896162,4163
-6.24089527,5023
-4.9128294,6059
-3.58476353,7564
-2.25669742,9442
-0.92863148,14266
0.39943451,27750
1.72750044,15779
3.05556655,8847
4.38363266,6017
5.71169853,4305
7.0397644,3406
8.36783028,2610
9.69589615,2042
11.02396202,1704
12.35202885,1336
13.68009472,1064
15.00816059,863
16.33622551,685
17.66429329,556
18.99235916,448
20.32042503,354
21.64849091,278
22.97655678,192
24.30462265,177
25.63268852,137
26.96075439,113
28.28882027,99
29.61688614,68
30.94495201,49
32.27301788,35
33.60108566,46
34.92914963,32
36.25721741,27
37.58528137,20
38.91334915,19
40.24141312,10
41.5694809,7
42.89754486,12
44.22561264,11
45.55367661,4
46.88174438,5
48.20980835,3
49.53787613,2
50.86594391,1
52.19400787,3
53.52207565,5
54.85013962,2
58.83433914,2
61.49047089,2
65.47467041,1
