x,y
-20.3467617,1
-17.85748291,1
-16.61284447,2
-16.19796562,2
-15.78308582,1
-14.95332623,4
-14.53844643,4
-14.12356663,6
-13.70868778,9
-13.29380798,5
-12.87892818,12
-12.46404839,17
-12.04916859,20
-11.63428974,18
-11.21940994,27
-10.80453014,42
-10.38965034,41
-9.97477055,44
-9.55989075,67
-9.1450119,70
-8.7301321,96
-8.3152523,137
-7.90037251,164
-7.48549318,224
-7.07061338,257
-6.65573406,340
-6.24085426,424
-5.82597446,514
-5.41109514,707
-4.99621534,856
-4.58133554,1053
-4.16645622,1315
-3.75157642,1725
-3.33669686,2113
-2.9218173,2747
-2.50693774,3623
-2.09205794,4501
-1.67717838,5479
-1.26229882,7120
-0.84741914,8779
-0.43253955,10307
-0.01765993,11476
0.39721969,12274
0.81209934,10142
1.2269789,8378
1.64185858,6843
2.05673814,5419
2.4716177,4225
2.8864975,3448
3.30137706,2754
3.71625662,2107
4.13113642,1645
4.54601574,1239
4.96089554,1016
5.37577534,768
5.79065466,576
6.20553446,451
6.62041378,387
7.03529358,303
7.45017338,251
7.8650527,163
8.27993202,139
8.69481182,118
9.10969162,88
9.52457142,65
9.93945122,71
10.35433102,53
10.76920986,35
11.18408966,26
11.59896946,21
12.01384926,17
12.42872906,17
12.8436079,9
13.2584877,7
13.6733675,11
14.0882473,5
14.5031271,3
14.91800594,6
15.33288574,3
15.74776554,4
16.16264534,2
16.57752419,4
16.99240494,1
17.82216454,1
18.65192223,1
19.48168182,1
20.72632027,1
21.14120102,1
