x,y
-47.35266876,1
-41.84497452,2
-40.92702866,2
-39.0911293,1
-38.17318344,1
-37.25523376,1
-36.33728409,1
-35.41933823,6
-34.50138855,7
-33.58343887,2
-32.6654892,9
-31.74754143,5
-30.82959366,8
-29.91164589,12
-28.99369621,13
-28.07574844,22
-27.15779877,17
-26.239851,24
-25.32190323,24
-24.40395355,34
-23.48600578,46
-22.56805611,48
-21.65010834,58
-20.73216057,62
-19.81421089,78
-18.89626312,119
-17.97831345,119
-17.06036568,172
-16.142416,216
-15.22446823,225
-14.30651951,303
-13.38857174,400
-12.47062302,545
-11.55267429,690
-10.63472557,876
-9.71677685,1188
-8.79882813,1550
-7.88087988,2163
-6.96293163,2825
-6.04498291,3569
-5.12703419,4996
-4.20908594,6557
-3.29113722,8309
-2.37318873,10459
-1.45524025,12308
-0.53729165,13430
0.38065687,12871
1.29860544,10709
2.21655393,8492
3.13450241,6454
4.05245113,4651
4.97039938,3390
5.8883481,2354
6.80629683,1670
7.72424507,1168
8.64219379,816
9.56014252,635
10.47809124,401
11.39603901,299
12.31398773,185
13.23193645,159
14.14988518,126
15.0678339,88
15.98578167,62
16.90373039,56
17.82168007,34
18.73962784,30
19.65757561,24
20.57552528,19
21.49347305,22
22.41142273,10
23.3293705,12
24.24731827,2
25.16526794,6
26.08321571,3
27.00116539,5
27.91911316,1
28.83706093,1
29.7550106,7
30.67295837,2
31.59090805,1
33.42680359,3
34.34475327,1
35.26270294,3
38.93449402,2
39.8524437,1
40.77039337,1
41.68834305,1
44.44218826,1
