x,y
-86.1193161,1
-83.12406921,1
-80.12882233,1
-77.13357544,1
-68.14783478,2
-65.15258789,2
-62.15733719,2
-59.1620903,1
-56.16684341,6
-53.17159653,7
-50.17634964,8
-47.18109894,12
-44.18585205,26
-41.19060516,31
-38.19535828,37
-35.20011139,57
-32.2048645,106
-29.20961571,135
-26.21436691,203
-23.21912003,301
-20.22387314,435
-17.22862434,767
-14.23337746,1251
-11.23812962,2212
-8.24288177,4389
-5.24763441,9607
-2.25238657,21692
0.74286091,35952
3.73810863,26559
6.733356,11948
9.72860336,5223
12.7238512,2592
15.71909904,1384
18.71434593,854
21.70959473,556
24.70484161,322
27.7000885,227
30.6953373,161
33.69058609,112
36.68583298,63
39.68107986,44
42.67632675,25
45.67157364,18
48.66682434,13
51.66207123,6
54.65731812,4
57.652565,6
60.64781189,4
63.64305878,2
66.63830566,4
69.63355255,3
72.62880707,4
75.62405396,2
78.61930084,2
81.61454773,5
84.60979462,3
87.6050415,3
93.59553528,1
96.59078217,1
99.58602905,3
102.58127594,1
105.57653046,1
108.57177734,2
111.56702423,2
114.56227112,2
117.55751801,5
123.54801178,2
126.54325867,1
129.53851318,3
132.53375244,3
135.52900696,1
138.52424622,1
141.51950073,4
144.51473999,2
147.50999451,1
150.50523376,1
153.50048828,2
159.49098206,1
162.48623657,1
165.48147583,3
177.46246338,1
213.40544128,1
