x,y
-144.3866272,1
-141.14378357,1
-131.41522217,1
-118.44380188,1
-111.95809937,1
-105.47238922,5
-102.22953796,1
-92.50097656,1
-82.77242279,2
-76.28671265,1
-73.04386139,2
-69.80101013,4
-66.55815125,3
-63.31529999,5
-60.07244873,4
-56.82959366,7
-53.5867424,10
-50.34388733,15
-47.10103607,21
-43.858181,33
-40.61532974,44
-37.37247467,60
-34.12962341,81
-30.88676834,134
-27.64391708,199
-24.40106201,332
-21.15821075,507
-17.91535568,917
-14.67250347,1585
-11.42965031,2956
-8.18679714,5513
-4.94394398,10325
-1.70109081,16604
1.54176235,21227
4.78461552,18423
8.02746868,12547
11.27032185,7834
14.51317501,4715
17.75602722,2948
20.99888229,1847
24.24173355,1298
27.48458862,815
30.72743988,492
33.97029495,409
37.21314621,276
40.45600128,173
43.69885254,154
46.94170761,103
50.18455887,65
53.42741394,48
56.6702652,42
59.91312027,42
63.15597153,17
66.3988266,19
69.64167786,8
72.88452911,13
76.127388,8
79.37023926,13
82.61309052,5
85.85594177,5
89.09880066,1
95.58450317,1
98.82735443,1
102.07021332,3
108.55591583,1
111.79876709,1
118.28447723,5
124.77017975,1
134.49874878,1
137.74159241,1
140.98445129,1
150.7130127,1
166.92727661,1
179.89868164,1
