x,y
-242.79992676,2
-225.59240723,1
-216.98864746,2
-208.3848877,2
-199.78112793,2
-191.17736816,6
-182.5736084,1
-173.96983337,7
-165.36607361,9
-156.76231384,8
-148.15855408,12
-139.55479431,23
-130.95103455,36
-122.34727478,36
-113.74351501,47
-105.13975525,72
-96.53599548,108
-87.93223572,137
-79.32847595,197
-70.72470856,294
-62.12095261,455
-53.51718903,634
-44.91342926,959
-36.30966949,1667
-27.70590782,2709
-19.10214806,5015
-10.49838638,9932
-1.89462614,18659
6.70913458,24271
15.31289482,17786
23.91665649,12506
32.52041626,8617
41.12417603,6158
49.72793961,4384
58.33169937,3257
66.93546295,2393
75.53922272,1855
84.14298248,1426
92.74674225,1157
101.35050201,923
109.95426178,801
118.55802155,641
127.16178131,536
135.76554871,421
144.36930847,382
152.97306824,251
161.576828,254
170.18058777,216
178.78434753,174
187.3881073,144
195.99186707,112
204.59562683,113
213.1993866,94
221.80314636,76
230.40690613,51
239.01068115,57
247.61444092,45
256.21820068,36
264.82196045,28
273.42572021,24
282.02947998,21
290.63323975,10
299.23699951,12
307.84075928,6
316.44451904,7
325.04827881,7
333.65203857,3
342.25579834,4
350.85955811,6
359.46331787,3
368.06707764,3
385.27459717,2
393.87835693,3
402.4821167,3
411.08587646,1
428.293396,1
436.89715576,2
462.70846558,1
471.31222534,1
505.7272644,1
514.33099365,1
540.14227295,1
617.57617187,1
