x,y
-102.17208862,2
-99.19320679,1
-93.23544312,1
-90.25656128,3
-87.27768707,3
-84.29880524,5
-81.3199234,8
-78.34104156,6
-75.36215973,13
-72.38327789,15
-69.40439606,7
-66.42551422,15
-63.4466362,13
-60.46775436,21
-57.48887253,28
-54.50999069,40
-51.53110886,45
-48.55222702,66
-45.573349,86
-42.59446716,114
-39.61558533,157
-36.63670349,203
-33.65782166,295
-30.67894173,405
-27.7000618,568
-24.72117996,777
-21.74229813,1211
-18.7634182,1768
-15.78453636,2496
-12.80565548,3614
-9.8267746,5258
-6.84789324,7558
-3.86901188,10450
-0.89013088,14336
2.08875036,24704
5.06763124,17709
8.0465126,14423
11.02539349,12043
14.00427437,9529
16.9831562,7680
19.96203613,6102
22.94091797,4782
25.9197998,3850
28.89867973,3062
31.87756157,2482
34.8564415,2006
37.83532333,1580
40.81420517,1231
43.79308701,1045
46.77196884,818
49.75084686,623
52.7297287,521
55.70861053,398
58.68749237,328
61.66637421,227
64.64525604,202
67.62413788,159
70.60301971,125
73.58189392,104
76.56077576,66
79.53965759,61
82.51853943,45
85.49742126,40
88.4763031,15
91.45518494,19
94.43406677,20
97.41294861,8
100.39183044,13
103.37070465,9
106.34958649,8
109.32846832,9
112.30735016,7
115.28623199,4
118.26511383,3
121.24399567,3
124.2228775,1
127.20175934,1
130.18063354,3
139.11727905,1
145.07504272,1
151.0328064,2
156.99057007,1
171.88497925,1
195.71601868,2
