x,y
-84.78202057,1
-82.83985901,1
-71.18689728,1
-69.24474335,1
-65.36042023,1
-63.41826248,1
-61.47610474,1
-55.64962387,2
-53.70746613,12
-51.76530457,4
-49.82314682,7
-47.88098526,3
-45.93882751,7
-43.99666595,13
-42.05450821,10
-40.11234665,16
-38.1701889,25
-36.22803116,39
-34.2858696,47
-32.34371185,61
-30.40155029,88
-28.45939064,104
-26.51723099,194
-24.57507133,235
-22.63291359,335
-20.69075394,480
-18.74859428,663
-16.80643463,966
-14.86427498,1367
-12.92211533,2042
-10.97995567,2766
-9.03779602,4013
-7.09563637,5423
-5.15347672,7357
-3.2113173,10161
-1.26915789,14275
0.67300171,23987
2.61516118,22921
4.55732059,18959
6.49948025,16122
8.4416399,13845
10.38379955,11478
12.32595921,9768
14.26811886,8175
16.21027756,6734
18.15243721,5555
20.09459686,4600
22.03675652,3842
23.97891617,3225
25.92107582,2634
27.86323547,2216
29.80539513,1813
31.74755478,1508
33.68971252,1208
35.63187408,991
37.57403183,829
39.51619339,705
41.45835114,550
43.4005127,459
45.34267044,389
47.284832,289
49.22698975,225
51.16915131,185
53.11130905,140
55.0534668,138
56.99562836,105
58.9377861,70
60.87994766,46
62.82210541,47
64.76426697,25
66.70642853,30
68.64858246,20
70.59074402,16
72.53290558,16
74.47506714,9
76.41722107,9
78.35938263,12
80.30154419,7
82.24370575,4
84.18585968,5
86.12802124,3
88.0701828,3
90.01233673,1
91.95449829,1
99.7231369,1
109.43393707,1
