x,y
-63.86352921,1
-58.85734558,2
-55.51988983,1
-52.18243408,1
-50.51370621,1
-48.84497833,1
-47.17625046,2
-45.5075264,6
-43.83879852,3
-42.17007065,1
-40.50134277,2
-38.8326149,1
-37.16388702,2
-35.49515915,4
-33.82643127,4
-32.1577034,2
-30.48897743,9
-28.82024956,9
-27.15152168,9
-25.48279381,24
-23.81406784,29
-22.14533997,45
-20.47661209,64
-18.80788422,66
-17.13915634,84
-15.47042942,156
-13.80170155,190
-12.13297462,303
-10.46424675,453
-8.79551983,712
-7.12679195,1161
-5.45806456,2002
-3.78933692,3974
-2.12060928,8679
-0.45188183,18859
1.21684575,31128
2.88557315,25057
4.55430079,15269
6.22302818,8132
7.89175558,4404
9.56048298,2402
11.22921085,1353
12.89793873,788
14.56666565,524
16.23539352,326
17.9041214,198
19.57284927,165
21.24157524,111
22.91030312,89
24.57903099,53
26.24775887,42
27.91648674,31
29.58521271,27
31.25394058,19
32.92266846,13
34.59139633,20
36.26012421,17
37.92885208,11
39.59757996,11
41.26630783,5
42.93503189,10
44.60375977,3
46.27248764,2
47.94121552,2
49.60994339,4
52.94739914,1
54.61612701,1
56.28485489,1
59.62231064,2
62.95976257,2
66.29721832,1
69.63467407,1
74.64085388,1
76.30958557,1
81.31576538,1
87.99067688,1
103.00922394,1
