x,y
-77.4624176,1
-71.12430573,2
-69.01160431,1
-66.89890289,1
-64.78620148,1
-60.56079483,4
-58.4480896,1
-56.33538818,3
-54.22268677,1
-52.10998154,13
-49.99728012,5
-47.8845787,14
-45.77187347,13
-43.65917206,12
-41.54646683,33
-39.43376541,38
-37.321064,58
-35.20835876,100
-33.09565735,161
-30.98295403,202
-28.8702507,278
-26.75754929,408
-24.64484596,574
-22.53214264,750
-20.41943932,957
-18.3067379,1223
-16.19403458,1585
-14.08133125,1909
-11.96862888,2488
-9.85592556,3001
-7.74322319,3595
-5.63051987,4160
-3.51781726,4807
-1.40511441,5453
0.70758843,5569
2.82029128,6184
4.93299389,6321
7.04569721,5995
9.15839958,5726
11.27110291,5382
13.38380527,4883
15.4965086,4274
17.60921097,3796
19.72191429,3448
21.83461761,2798
23.94731903,2435
26.06002235,1998
28.17272568,1767
30.285429,1353
32.39813232,1123
34.51083374,898
36.62353516,745
38.73624039,551
40.8489418,412
42.96164703,325
45.07434845,260
47.18704987,181
49.2997551,144
51.41245651,101
53.52515793,77
55.63786316,57
57.75056458,63
59.86326981,38
61.97597122,43
64.08867645,31
66.20137787,25
68.31407928,25
70.4267807,13
72.53948212,11
74.65219116,9
76.76489258,18
78.87759399,13
80.99029541,8
83.10299683,8
85.21570587,6
87.32840729,6
89.4411087,3
91.55381012,2
93.66651154,2
95.77921295,3
97.891922,3
100.00462341,1
102.11732483,3
104.23002625,1
106.34272766,1
108.45543671,1
110.56813812,1
112.68083954,2
121.13165283,1
125.35705566,1
131.69515991,1
133.80786133,1
