x,y
-142.32061768,1
-139.07316589,1
-132.57827759,1
-116.34104156,1
-113.09359741,1
-109.84615326,1
-106.59870911,1
-103.35125732,3
-100.10381317,1
-93.60892487,1
-80.61914063,1
-77.37168884,1
-74.12424469,1
-70.87680054,3
-67.62935638,2
-64.3819046,3
-61.13446045,5
-57.8870163,4
-54.63956833,7
-51.39212418,9
-48.14467621,22
-44.89723206,15
-41.64978409,29
-38.40233994,54
-35.15489197,64
-31.90744781,98
-28.65999985,148
-25.41255569,241
-22.16510773,358
-18.91766357,606
-15.67021656,1035
-12.4227705,1895
-9.17532444,3869
-5.92787838,7962
-2.68043232,15714
0.56701374,24003
3.8144598,22450
7.06190586,14374
10.30935192,8051
13.55679798,4394
16.804245,2668
20.05168915,1546
23.29913712,969
26.54658127,651
29.79402924,485
33.04147339,320
36.28892136,229
39.53636551,151
42.78381348,129
46.03125763,86
49.2787056,66
52.52614975,59
55.77359772,45
59.02104187,27
62.26848984,17
65.51593781,15
68.76338196,8
72.01082611,8
75.25827026,12
78.50572205,3
81.7531662,6
85.00061035,7
88.2480545,4
97.99039459,1
104.48529053,5
110.98017883,2
120.72251892,1
123.96996307,2
130.46485901,2
136.95974731,2
156.44442749,1
166.18676758,1
182.42399597,1
