x,y
-279.95465088,1
-272.79379272,1
-258.47207642,1
-251.311203,1
-236.98947144,1
-208.34599304,2
-194.02426147,4
-186.86340332,3
-179.70252991,5
-172.54167175,4
-165.38079834,4
-158.21994019,5
-151.05906677,5
-143.89820862,2
-136.73733521,4
-129.57647705,8
-122.41560364,8
-115.25473785,22
-108.09387207,22
-100.93300629,31
-93.7721405,39
-86.61127472,59
-79.45040894,58
-72.28954315,97
-65.12867737,144
-57.96780777,171
-50.80694199,276
-43.6460762,435
-36.48521042,664
-29.32434273,1227
-22.16347694,2259
-15.00261021,4360
-7.84174442,9666
-0.68087792,22368
6.4799881,29070
13.64085484,17081
20.80172157,10595
27.96258736,6700
35.12345505,4093
42.28432083,2530
49.44518661,1612
56.6060524,1052
63.76691818,740
70.92778778,554
78.08865356,407
85.24951935,335
92.41038513,240
99.57125092,208
106.7321167,165
113.89298248,136
121.05384827,109
128.21472168,84
135.37557983,76
142.53645325,53
149.6973114,60
156.85818481,43
164.01904297,43
171.17991638,38
178.34077454,23
185.50164795,24
192.6625061,18
199.82337952,23
206.98423767,9
214.14511108,11
221.30596924,4
228.46684265,6
235.62771606,12
242.78857422,6
249.94944763,4
257.11032104,5
264.2711792,7
271.43203735,3
278.59289551,1
285.75378418,2
292.91464233,4
300.07550049,2
307.23635864,2
314.39724731,4
321.55810547,1
378.84503174,1
414.64935303,1
421.8102417,1
436.13195801,1
