x,y
-82.01622772,1
-68.53652954,1
-60.83384323,4
-58.90817261,7
-56.98250198,4
-55.05683136,5
-53.13116074,17
-51.2054863,11
-49.27981567,18
-47.35414505,17
-45.42847443,23
-43.5028038,27
-41.57712936,30
-39.65145874,41
-37.72578812,72
-35.80011749,81
-33.87444687,79
-31.94877434,125
-30.02310371,176
-28.09743118,194
-26.17176056,265
-24.24608994,362
-22.3204174,451
-20.39474678,624
-18.46907425,782
-16.54340363,1049
-14.61773205,1343
-12.69206142,2016
-10.76638985,2628
-8.84071827,3546
-6.91504717,4662
-4.98937559,5991
-3.06370449,7687
-1.13803303,9514
0.78763831,10692
2.71330976,10978
4.63898087,10605
6.56465244,9521
8.49032402,8238
10.41599464,6985
12.34166622,5930
14.2673378,4706
16.19300842,3879
18.11868095,3170
20.04435158,2459
21.9700222,1982
23.89569473,1708
25.82136536,1315
27.74703789,1067
29.67270851,888
31.59837914,742
33.52405167,637
35.44972229,506
37.37539291,444
39.30106354,330
41.22673798,326
43.1524086,247
45.07807922,185
47.00374985,151
48.92942047,142
50.85509491,105
52.78076553,96
54.70643616,90
56.63210678,64
58.5577774,45
60.48344803,44
62.40912247,32
64.33479309,28
66.26046753,27
68.18613434,15
70.11180878,19
72.03747559,11
73.96315002,9
75.88881683,8
77.81449127,7
79.74016571,5
81.66583252,5
83.59150696,5
87.44284821,4
89.36852264,1
93.21986389,3
95.1455307,2
110.55090332,1
