x,y
-64.94369507,1
-61.53613663,1
-59.8323555,1
-58.12857437,1
-56.42479324,4
-54.72101593,4
-53.0172348,1
-51.31345367,2
-49.60967255,6
-47.90589523,4
-46.20211411,9
-44.49833298,10
-42.79455185,11
-41.09077454,17
-39.38699341,18
-37.68321228,33
-35.97943115,30
-34.27565384,43
-32.57187271,59
-30.86809158,65
-29.16431236,94
-27.46053123,113
-25.75675201,167
-24.05297089,158
-22.34919167,226
-20.64541054,301
-18.94163132,382
-17.23785019,514
-15.53407097,707
-13.83028984,906
-12.12651062,1228
-10.42272949,1646
-8.71895027,2333
-7.01516962,3192
-5.31138945,4847
-3.60760927,7379
-1.9038291,12282
-0.20004892,30162
1.50373125,79756
3.20751143,22353
4.9112916,12525
6.61507177,8478
8.31885147,5939
10.0226326,4499
11.72641182,3401
13.43019295,2615
15.13397217,2023
16.8377533,1639
18.54153252,1164
20.24531364,974
21.94909286,780
23.65287399,676
25.35665321,551
27.06043434,427
28.76421356,387
30.46799469,307
32.17177582,226
33.87555313,235
35.57933426,176
37.28311539,127
38.98689651,119
40.69067383,90
42.39445496,86
44.09823608,67
45.80201721,58
47.50579453,42
49.20957565,48
50.91335678,49
52.61713791,30
54.32091522,24
56.02469635,20
57.72847748,20
59.43225861,13
61.13603592,12
62.83981705,12
64.54359436,10
66.24737549,7
67.95115662,11
69.65493774,3
71.35871887,6
73.0625,2
74.76628113,2
76.47006226,1
78.17383575,2
81.58139801,2
83.28517914,1
84.98896027,1
86.69274139,2
88.39652252,1
90.10030365,1
91.80407715,1
95.2116394,2
105.43431854,1
