x,y
-88.91969299,3
-87.05677795,2
-81.46804047,2
-79.60512543,2
-77.74221039,1
-75.87929535,1
-74.01638031,1
-72.1534729,2
-70.29055786,1
-68.42764282,1
-66.56472778,4
-64.70181274,4
-62.83890152,5
-60.97598648,7
-59.11307526,2
-57.25016022,5
-55.38724518,5
-53.52433395,8
-51.66141891,14
-49.79850388,10
-47.93559265,16
-46.07267761,21
-44.20976257,21
-42.34685135,22
-40.48393631,18
-38.62102127,39
-36.75811005,54
-34.89519501,48
-33.03227997,75
-31.16936874,106
-29.3064537,127
-27.44354057,146
-25.58062744,230
-23.7177124,319
-21.85479927,425
-19.99188614,551
-18.1289711,823
-16.26605797,1108
-14.40314484,1584
-12.54023075,2114
-10.67731667,2952
-8.81440353,4247
-6.95148945,5755
-5.08857584,8381
-3.22566223,11670
-1.36274838,16570
0.50016528,28942
2.36307907,25805
4.22599268,20204
6.08890629,16295
7.95182037,13066
9.81473351,10473
11.67764759,8242
13.54056168,6649
15.40347481,5353
17.26638794,4378
19.12930298,3471
20.99221611,2775
22.85512924,2204
24.71804428,1865
26.58095741,1446
28.44387054,1155
30.30678558,934
32.16969681,758
34.03261185,603
35.89552689,482
37.75843811,386
39.62135315,327
41.48426819,270
43.34717941,211
45.21009445,173
47.07300949,136
48.93592072,116
50.79883575,112
52.66175079,70
54.52466202,55
56.38757706,36
58.2504921,29
60.11340332,31
61.97631836,26
63.8392334,19
65.70214844,24
67.56505585,11
69.42797089,12
71.29088593,6
73.15380096,3
75.016716,3
76.87963104,5
78.74253845,3
80.60545349,4
82.46836853,3
84.33128357,1
86.19419861,2
88.05711365,1
93.64585114,1
97.37168121,1
