x,y
-109.21472168,1
-106.92536163,1
-104.63600159,1
-102.34664154,1
-97.76792145,1
-95.4785614,2
-93.18920135,1
-90.89984131,4
-88.61048126,5
-86.32112122,3
-84.03175354,4
-81.74239349,2
-79.45303345,6
-77.1636734,6
-74.87431335,7
-72.58495331,5
-70.29559326,9
-68.00623322,3
-65.71687317,3
-63.42750931,10
-61.13814926,9
-58.84878922,8
-56.55942917,2
-54.27006531,23
-51.98070526,21
-49.69134521,28
-47.40198517,29
-45.11262512,36
-42.82326126,47
-40.53390121,66
-38.24454117,84
-35.95518112,77
-33.66582108,108
-31.37645912,139
-29.08709908,159
-26.79773712,233
-24.50837708,284
-22.21901703,386
-19.92965508,459
-17.64029503,632
-15.35093403,900
-13.06157303,1073
-10.77221203,1503
-8.48285198,2062
-6.19349098,3027
-3.90412998,4593
-1.61476934,8259
0.67459142,137806
2.96395206,17765
5.25331306,10073
7.54267359,6912
9.83203411,4911
12.12139511,3609
14.41075611,2705
16.70011711,1938
18.98947716,1475
21.27883911,1156
23.56819916,908
25.8575592,685
28.14692116,521
30.4362812,436
32.72564316,331
35.0150032,268
37.30436325,189
39.5937233,172
41.88308334,148
44.1724472,111
46.46180725,92
48.7511673,56
51.04052734,55
53.32988739,40
55.61925125,44
57.9086113,33
60.19797134,21
62.48733139,24
64.77669525,21
67.0660553,19
69.35541534,16
71.64477539,15
73.93413544,10
76.22349548,7
78.51285553,8
80.80221558,3
83.09157562,5
85.3809433,7
87.67030334,5
89.95966339,5
92.24902344,4
94.53838348,5
96.82774353,1
99.11710358,5
101.40646362,1
105.98518372,2
108.27454376,1
110.56391144,2
112.85327148,2
115.14263153,1
119.72135162,1
