x,y
-17.51253319,1
-17.1032486,1
-15.87539005,1
-15.46610451,1
-14.64753342,1
-14.23824692,3
-13.82896137,2
-13.01039028,4
-12.60110378,5
-12.19181824,4
-11.78253269,6
-11.37324715,9
-10.96396065,5
-10.5546751,10
-10.14538956,19
-9.73610401,26
-9.32681751,25
-8.91753197,32
-8.50824642,31
-8.09896088,54
-7.68967485,68
-7.28038883,92
-6.87110329,98
-6.46181726,139
-6.05253172,191
-5.6432457,236
-5.23396015,282
-4.82467413,418
-4.41538858,587
-4.00610256,724
-3.59681702,917
-3.18753099,1219
-2.77824545,1595
-2.36895943,2145
-1.95967376,2938
-1.55038798,3698
-1.14110219,4898
-0.73181641,6505
-0.32253063,8548
0.08675516,11351
0.49604094,12524
0.90532672,11647
1.31461251,10146
1.72389829,8580
2.13318396,7029
2.54246998,5832
2.95175552,4914
3.36104155,4045
3.77032709,3160
4.17961311,2545
4.58889866,2068
4.99818468,1659
5.40747023,1297
5.81675625,1036
6.22604179,801
6.63532782,687
7.04461336,518
7.45389938,418
7.86318493,324
8.27247047,244
8.68175697,200
9.09104252,168
9.50032806,128
9.90961361,93
10.31890011,107
10.72818565,79
11.1374712,49
11.54675674,51
11.95604324,37
12.36532879,34
12.77461433,28
13.18389988,20
13.59318638,19
14.00247192,12
14.41175747,10
14.82104301,9
15.23032951,10
15.63961506,4
16.0489006,4
16.4581871,5
16.86747169,4
17.27675819,4
17.68604469,1
18.09532928,2
18.50461578,3
19.32318687,1
20.14175797,1
20.55104446,1
21.36961555,1
23.41604424,1
