x,y
-32.17221832,1
-29.79782867,1
-29.00636482,1
-28.21490097,1
-26.63197327,1
-25.84051132,2
-25.04904747,1
-24.25758362,3
-23.46611977,2
-22.67465591,1
-21.88319206,4
-21.09172821,5
-20.30026436,6
-19.50880241,6
-18.71733856,11
-17.92587471,9
-17.13441086,9
-16.34294701,13
-15.55148315,22
-14.76002026,35
-13.9685564,46
-13.17709255,57
-12.3856287,60
-11.5941658,83
-10.80270195,107
-10.0112381,144
-9.21977425,194
-8.42831135,266
-7.6368475,378
-6.84538364,520
-6.05392027,656
-5.26245642,934
-4.47099304,1401
-3.67952919,1821
-2.88806581,2532
-2.09660196,3875
-1.30513847,5495
-0.51367486,8897
0.27778876,14719
1.06925237,16566
1.86071599,12324
2.65217972,9524
3.44364309,7693
4.23510695,6591
5.02657032,5566
5.81803417,4673
6.60949755,3887
7.4009614,3230
8.19242477,2670
8.98388863,2083
9.77535248,1786
10.56681538,1360
11.35827923,1142
12.14974308,991
12.94120693,735
13.73266983,623
14.52413368,486
15.31559753,386
16.10706139,312
16.89852524,272
17.68998909,186
18.48145103,148
19.27291489,146
20.06437874,103
20.85584259,80
21.64730644,60
22.43877029,52
23.23023415,43
24.021698,40
24.81315994,28
25.60462379,30
26.39608765,17
27.1875515,20
27.97901535,21
28.7704792,16
29.56194305,11
30.35340691,10
31.14486885,5
31.9363327,7
32.72779846,2
33.51926041,6
34.31072235,4
35.10218811,3
35.89365005,2
36.68511581,3
37.47657776,5
38.26804352,1
39.05950546,1
39.85097122,2
40.64243317,1
42.22536087,2
43.01682281,3
43.80828857,1
44.59975052,1
46.18267822,1
46.97414017,1
