x,y
-101.31661987,1
-95.06837463,1
-91.94425201,2
-88.82012939,1
-85.69600677,1
-73.1995163,1
-70.07539368,2
-63.82714844,2
-57.5789032,1
-51.33065796,1
-48.20653534,4
-45.08241272,4
-41.9582901,11
-38.83416748,18
-35.71004486,19
-32.58592224,35
-29.46180153,73
-26.33767891,112
-23.21355629,150
-20.08943367,236
-16.96531105,405
-13.84118938,729
-10.71706676,1280
-7.59294462,2469
-4.46882248,5512
-1.34469998,13921
1.7794224,31972
4.9035449,29299
8.02766705,18800
11.15178967,10512
14.27591228,5433
17.40003395,2736
20.52415657,1474
23.64827919,838
26.77240181,491
29.89652443,303
33.02064514,199
36.14476776,121
39.26889038,69
42.393013,49
45.51713562,28
48.64125824,11
51.76538086,15
54.88950348,10
58.0136261,6
61.13774872,3
64.26187134,6
67.38599396,5
70.51011658,3
73.6342392,2
76.75836182,2
79.88248444,3
83.00660706,3
86.13072968,6
89.25485229,1
92.37897491,1
95.50309753,1
98.62721252,1
104.87545776,4
107.99958038,2
111.123703,1
114.24782562,2
117.37194824,6
120.49607086,2
126.7443161,2
129.86843872,2
132.99256897,4
139.24081421,1
142.3649292,4
148.61317444,2
151.73728943,1
154.86141968,2
161.10966492,1
167.35791016,2
170.48202515,2
173.6061554,2
176.73027039,1
179.85440063,1
189.22676086,1
211.09562683,1
