x,y
-74.51081085,1
-69.23632813,1
-63.9618454,3
-62.20368576,1
-60.44552612,1
-58.68736649,4
-56.92920303,5
-55.1710434,4
-53.41288376,8
-51.65472031,11
-49.89656067,10
-48.13840103,14
-46.38023758,21
-44.62207794,32
-42.8639183,29
-41.10575485,37
-39.34759521,55
-37.58943558,82
-35.83127213,100
-34.07311249,134
-32.31495285,178
-30.55679131,233
-28.79862976,348
-27.04047012,416
-25.28230858,489
-23.52414894,665
-21.7659874,839
-20.00782585,967
-18.24966621,1350
-16.49150467,1680
-14.73334408,1976
-12.97518349,2472
-11.21702194,2930
-9.45886135,3422
-7.70070076,4147
-5.94253969,4814
-4.1843791,5323
-2.42621803,5924
-0.66805732,6337
1.09010351,6825
2.84826422,6958
4.60642529,6990
6.36458588,6925
8.12274647,6564
9.88090801,6131
11.6390686,5665
13.39722919,4972
15.15538979,4595
16.91355133,4091
18.67171097,3415
20.42987251,3097
22.18803406,2751
23.9461937,2313
25.70435524,2035
27.46251678,1743
29.22067642,1472
30.97883797,1310
32.73699951,1036
34.49515915,905
36.25331879,815
38.01148224,685
39.76964188,584
41.52780151,544
43.28596497,438
45.0441246,409
46.80228424,334
48.56044769,254
50.31860733,224
52.07676697,196
53.83492661,162
55.59309006,150
57.35124969,121
59.10940933,106
60.86757278,85
62.62573242,52
64.38389587,58
66.1420517,46
67.90021515,46
69.6583786,34
71.41653442,26
73.17469788,28
74.93286133,9
76.69101715,12
78.4491806,14
80.20734406,8
81.96549988,5
83.72366333,6
85.48182678,6
87.2399826,1
88.99814606,1
92.51446533,2
94.27262878,1
96.03078461,1
97.78894806,1
101.30526733,1
