x,y
-196.33406067,1
-180.24237061,1
-157.71400452,2
-154.49568176,2
-144.84066772,1
-131.96731567,1
-128.74897766,2
-125.53064728,1
-122.31230927,1
-119.09397125,2
-93.34727478,1
-83.69226837,1
-80.47393036,2
-77.25559235,2
-74.03725433,1
-70.81891632,2
-67.60057831,1
-64.3822403,3
-61.1639061,7
-57.9455719,4
-51.50889587,8
-48.29056168,7
-45.07222366,3
-41.85388565,15
-38.63554764,26
-35.41721344,36
-32.19887543,51
-28.98053932,98
-25.76220131,201
-22.5438652,398
-19.3255291,814
-16.10719109,1518
-12.88885498,3178
-9.67051792,6078
-6.45218134,11512
-3.23384428,20368
-0.01550758,32025
3.20282936,36044
6.42116594,27009
9.63950253,20447
12.85783958,14881
16.07617569,10838
19.2945137,7918
22.51284981,5864
25.73118782,4288
28.94952393,3136
32.16786194,2325
35.38619614,1616
38.60453415,1186
41.82287216,859
45.04120636,608
48.25954437,433
51.47788239,281
54.69621658,200
57.9145546,103
61.13289261,83
64.35122681,64
67.56956482,29
70.78790283,16
74.00624084,8
77.22457886,11
80.44290924,7
83.66124725,6
86.87958527,1
90.09792328,2
93.31626129,2
96.5345993,1
119.06295776,2
125.49962616,1
