x,y
-157.5135498,1
-106.60629272,2
-103.77811432,1
-100.94992828,2
-98.12174988,1
-83.98084259,1
-72.66812134,1
-69.83994293,2
-61.35539627,1
-58.52721786,2
-55.69903564,4
-52.87085342,6
-50.04267502,4
-47.2144928,6
-44.38631058,14
-41.55812836,14
-38.72994995,19
-35.90176773,14
-33.07358551,32
-30.2454052,68
-27.41722488,78
-24.58904457,166
-21.76086235,274
-18.93268204,470
-16.10450172,882
-13.2763195,1634
-10.44813919,3210
-7.61995792,6054
-4.79177666,11819
-1.96359575,25819
0.86458528,44742
3.69276619,32889
6.52094746,21598
9.34912872,15619
12.17730904,11544
15.0054903,9105
17.83367157,6993
20.66185188,5589
23.4900341,4246
26.31821442,3288
29.14639473,2621
31.97457695,1981
34.80275726,1658
37.63093948,1224
40.45911789,968
43.28730011,675
46.11548233,500
48.94366455,357
51.77184296,249
54.60002518,162
57.4282074,90
60.2563858,77
63.08456802,38
65.91275024,29
68.74092865,27
71.56911469,24
74.39729309,9
77.2254715,6
80.05365753,1
82.88183594,2
91.36637878,3
94.19455719,1
97.02274323,1
99.85092163,2
102.67910004,2
105.50728607,1
111.16364288,1
122.47637177,1
125.30455017,1
