x,y
-163.06079102,3
-151.5967865,3
-140.13278198,2
-128.66877747,2
-105.74077606,4
-94.27677155,3
-82.81277466,3
-71.34877014,15
-59.88476944,43
-48.42076874,112
-36.95676804,264
-25.49276543,587
-14.02876282,2198
-2.56476164,19515
8.89924049,104847
20.3632412,18261
31.8272438,7263
43.29124451,2823
54.75524521,820
66.21924591,191
77.68325043,55
89.14725494,21
100.61125183,11
112.07525635,9
123.53925323,3
135.00326538,8
146.46725464,5
157.93125916,2
180.85926819,4
203.78726196,1
215.25126648,2
226.715271,1
238.17927551,1
261.10726929,1
284.03527832,1
329.89129639,1
341.35528564,2
375.74728394,1
398.67529297,2
444.53131104,1
490.38729858,1
524.77929688,1
547.70733643,1
593.56335449,1
605.02734375,1
627.95532227,1
891.62738037,1
983.33935547,1
