x,y
-34.75664139,1
-29.8170414,4
-27.34724236,9
-24.87744522,14
-22.40764618,49
-19.93784714,86
-17.4680481,233
-14.99824905,360
-12.52845001,811
-10.05865192,1401
-7.58885288,2479
-5.11905384,4246
-2.64925528,6604
-0.17945635,9388
2.29034233,10840
4.76014137,11060
7.22993994,10284
9.6997385,8977
12.16953754,7659
14.63933659,6257
17.10913467,4917
19.57893372,3828
22.04873276,2748
24.5185318,2057
26.98833084,1409
29.45812988,1029
31.92792892,675
34.39772797,411
36.86752701,280
39.33732605,150
41.80712509,93
44.27692032,51
46.74671936,43
49.2165184,18
51.68631744,13
54.15611649,3
56.62591553,8
59.09571457,5
61.56551361,1
71.44470978,1
81.32390594,1
86.26350403,1
88.73329926,1
108.49169159,1
113.43128967,1
187.5252533,1
212.22323608,1
