x,y
-288.03366089,1
-267.63238525,1
-247.23112488,1
-240.43069458,1
-233.63026428,2
-226.82984924,2
-220.02941895,5
-206.42857361,3
-199.62815857,1
-192.82772827,2
-186.02731323,6
-179.22688293,6
-172.4264679,11
-165.6260376,3
-158.82562256,6
-152.02519226,12
-145.22477722,10
-138.42434692,18
-131.62393188,12
-124.82350159,20
-118.02307892,33
-111.22265625,29
-104.42223358,32
-97.62181091,43
-90.82138824,54
-84.02096558,49
-77.22054291,87
-70.42011261,85
-63.61969376,115
-56.81927109,125
-50.01884842,209
-43.21842194,278
-36.41799927,458
-29.6175766,788
-22.81715393,1348
-16.01673126,2761
-9.21630764,6921
-2.41588473,22373
4.38453865,39111
11.18496132,22031
17.98538399,11012
24.78580856,6893
31.58623123,4808
38.3866539,3294
45.18707657,2150
51.98749924,1440
58.78792191,913
65.58834839,596
72.38877106,462
79.18919373,376
85.98961639,243
92.79003906,192
99.59046173,167
106.3908844,120
113.19130707,106
119.99172974,79
126.7921524,66
133.59257507,42
140.39300537,41
147.19342041,46
153.99385071,32
160.79426575,21
167.59469604,22
174.39511108,18
181.19554138,12
187.99595642,17
194.79638672,17
201.59681702,6
208.39723206,10
215.19766235,3
221.99807739,8
228.79850769,10
235.59892273,3
242.39935303,3
249.19976807,6
256.00018311,5
262.80062866,3
269.6010437,5
276.40145874,2
283.20187378,1
290.00231934,3
296.80273438,4
310.40359497,1
317.20401001,2
324.00442505,1
330.80484009,1
337.60528564,1
344.40570068,1
351.20611572,1
378.4078064,1
385.20822144,1
392.00866699,1
