x,y
-64.64904022,2
-63.10936356,1
-61.5696907,1
-55.41099548,2
-53.87131882,1
-52.33164597,1
-50.7919693,1
-49.25229645,6
-47.7126236,7
-46.17294693,11
-44.63327408,11
-43.09360123,9
-41.55392456,10
-40.01425171,17
-38.47457504,24
-36.93490219,24
-35.39522934,29
-33.85555267,44
-32.31587982,66
-30.77620506,83
-29.2365303,87
-27.69685745,145
-26.15718269,169
-24.61750793,218
-23.07783318,280
-21.53816032,377
-19.99848557,501
-18.45881081,600
-16.91913605,834
-15.37946224,993
-13.83978844,1256
-12.30011368,1529
-10.76043987,2042
-9.22076511,2481
-7.68109131,3119
-6.14141655,3728
-4.60174274,4400
-3.06206822,5032
-1.52239394,5698
0.01728034,6259
1.55695462,6806
3.0966289,6949
4.63630295,7040
6.17597771,7003
7.71565151,6656
9.25532627,6346
10.79500008,5801
12.33467484,5406
13.87434864,4930
15.4140234,4482
16.9536972,3915
18.49337196,3377
20.03304672,3023
21.57271957,2716
23.11239433,2204
24.65206909,1957
26.19174385,1598
27.7314167,1465
29.27109146,1229
30.81076622,1009
32.35044098,919
33.89011383,771
35.4297905,604
36.96946335,563
38.5091362,485
40.04881287,435
41.58848572,346
43.12815857,343
44.66783524,273
46.20750809,253
47.74718475,198
49.2868576,158
50.82653046,126
52.36620712,144
53.90587997,111
55.44555283,108
56.98522949,88
58.52490234,62
60.06457901,61
61.60425186,49
63.14392471,48
64.68360138,36
66.22327423,26
67.76294708,21
69.30261993,16
70.84230042,12
72.38197327,10
73.92164612,10
75.46131897,11
77.00099182,4
78.5406723,5
80.08034515,5
81.62001801,3
84.69936371,2
86.23903656,1
87.77871704,1
89.31838989,3
