x,y
-167.53559875,1
-163.59736633,1
-143.90620422,1
-136.02973938,1
-132.09150696,1
-128.15327454,1
-120.27681732,1
-108.46212006,1
-92.70919037,1
-88.77095795,1
-84.83272552,3
-80.8944931,3
-76.95626068,5
-73.01803589,4
-69.07980347,7
-65.14157104,11
-61.20333481,10
-57.2651062,10
-53.32687378,18
-49.38864136,27
-45.45040894,53
-41.51217651,70
-37.57394409,122
-33.63571167,208
-29.69748116,308
-25.75924873,604
-21.82101631,1154
-17.8827858,1966
-13.94455338,3802
-10.00632095,6981
-6.06808949,12469
-2.1298573,22822
1.80837464,29412
5.74660683,22123
9.68483829,16872
13.62307072,12405
17.56130219,9262
21.49953461,6928
25.43776703,5014
29.37599754,3570
33.31423187,2658
37.25246048,1882
41.1906929,1293
45.12892532,980
49.06715775,658
53.00539017,518
56.94362259,338
60.88185501,263
64.82008362,191
68.75831604,119
72.69654846,116
76.63478088,78
80.57301331,59
84.51124573,47
88.44947815,34
92.38771057,22
96.32594299,21
100.26417542,11
104.20240784,15
108.14064026,16
112.07887268,7
116.01709747,6
119.9553299,8
123.89356232,5
127.83179474,7
131.77003479,7
135.70826721,6
139.64649963,4
143.58473206,2
147.52294922,1
151.46118164,4
155.39941406,3
159.33764648,1
163.27587891,2
167.21411133,1
179.02880859,3
186.90527344,1
194.78173828,1
198.7199707,1
218.41113281,1
226.28759766,1
