x,y
-42.49577332,1
-40.07006454,1
-38.85720825,1
-35.21864319,2
-34.00579071,1
-32.79293442,5
-31.58008003,11
-30.36722565,13
-29.15437126,13
-27.94151688,18
-26.72866249,25
-25.51580811,41
-24.30295372,76
-23.09009743,84
-21.87724304,152
-20.66438866,163
-19.45153427,247
-18.23867989,386
-17.0258255,509
-15.81297016,657
-14.60011578,942
-13.38726139,1146
-12.17440701,1588
-10.96155167,2130
-9.74869728,2684
-8.5358429,3555
-7.32298803,4612
-6.11013365,5908
-4.89727879,7970
-3.6844244,9928
-2.47156954,14910
-1.25871503,18214
-0.04586041,19204
1.16699421,19588
2.37984896,15451
3.59270334,12608
4.8055582,10806
6.01841259,9161
7.23126745,7895
8.44412231,6636
9.6569767,5576
10.86983109,4881
12.08268547,4208
13.29554081,3692
14.5083952,3040
15.72124958,2625
16.93410492,2280
18.1469593,1980
19.35981369,1729
20.57266808,1435
21.78552246,1239
22.99837685,1043
24.21123123,874
25.42408752,709
26.63694191,596
27.8497963,576
29.06265068,451
30.27550507,439
31.48835945,324
32.70121384,316
33.91407013,249
35.12692261,174
36.3397789,199
37.55263138,162
38.76548767,134
39.97834396,111
41.19119644,118
42.40405273,68
43.61690521,53
44.82976151,53
46.04261398,42
47.25547028,39
48.46832275,42
49.68117905,27
50.89403534,19
52.10688782,19
53.31974411,10
54.53259659,14
55.74545288,13
56.95830536,8
58.17116165,6
59.38401794,5
60.59687042,3
63.02257919,1
64.23543549,2
66.66114044,2
67.87400055,3
71.51256561,1
73.93827057,1
78.78968811,1
