x,y
-63.71646881,1
-60.49002075,1
-58.87680054,1
-54.03713226,1
-50.8106842,2
-49.19746399,3
-47.58423996,3
-45.97101593,3
-44.35779572,2
-42.74457169,4
-41.13134766,3
-39.51812744,4
-37.90490341,12
-36.2916832,12
-34.67845917,17
-33.06523514,11
-31.45201302,19
-29.83879089,25
-28.22556686,27
-26.61234474,41
-24.99912262,66
-23.3859005,92
-21.77267647,130
-20.15945435,163
-18.54623222,324
-16.93300819,427
-15.31978607,730
-13.706563,1061
-12.09334087,1791
-10.4801178,2845
-8.86689472,4306
-7.2536726,6706
-5.64044952,9563
-4.02722692,14542
-2.41400433,23633
-0.80078155,32152
0.81244117,52030
2.42566395,21217
4.03888655,12333
5.65210915,8204
7.26533222,5658
8.87855434,4048
10.49177742,3170
12.1050005,2306
13.71822262,1836
15.33144569,1466
16.94466782,1137
18.55789185,893
20.17111397,693
21.78433609,557
23.39756012,439
25.01078224,385
26.62400436,339
28.23722649,227
29.85045052,208
31.46367264,163
33.07689667,133
34.69011688,109
36.30334091,95
37.91656494,76
39.52978516,62
41.14300919,69
42.75623322,53
44.36945343,43
45.98267746,39
47.59590149,35
49.2091217,32
50.82234573,26
52.43556976,21
54.04878998,19
55.66201401,12
57.27523804,18
58.88845825,9
60.50168228,10
62.11490631,12
63.72812653,9
65.34134674,7
66.95457458,10
68.5677948,2
70.18101501,4
71.79424286,2
73.40746307,6
75.02068329,4
79.86035156,1
81.47357941,2
83.08679962,1
84.70001984,2
86.31324768,2
87.9264679,1
89.53968811,1
94.37935638,1
97.60580444,1
