x,y
-167.34577942,2
-161.54434204,2
-158.64363098,1
-152.84217834,1
-144.14002991,1
-135.43786621,1
-132.53715515,1
-118.03355408,1
-115.13283539,1
-112.2321167,1
-106.43067169,1
-100.62923431,2
-97.72851563,2
-94.82779694,2
-91.92707825,1
-89.02635956,2
-86.12564087,3
-83.22492218,7
-80.32420349,2
-77.4234848,9
-74.52275848,8
-71.62203979,5
-68.72132111,14
-65.82060242,24
-62.91988373,16
-60.01916504,21
-57.11844635,30
-54.21772766,25
-51.31700516,35
-48.41628647,41
-45.51556778,72
-42.61484909,91
-39.7141304,111
-36.8134079,119
-33.91268921,128
-31.01197052,161
-28.11125183,198
-25.21053123,271
-22.30981255,310
-19.40909386,534
-16.50837326,839
-13.60765457,1412
-10.70693493,2382
-7.80621576,4477
-4.90549612,8347
-2.00477695,17126
0.89594257,136253
3.79666185,16058
6.6973815,9184
9.59810066,5899
12.4988203,3853
15.39953995,2604
18.30025864,1746
21.20097923,1192
24.10169792,907
27.00241661,654
29.90313721,446
32.8038559,333
35.70457458,250
38.60529327,169
41.50601578,118
44.40673447,102
47.30745316,76
50.20817184,63
53.10889053,34
56.00961304,35
58.91033173,21
61.81105042,19
64.7117691,23
67.61248779,23
70.51320648,7
73.41392517,4
76.31464386,11
79.21537018,5
82.11608887,4
85.01680756,2
87.91752625,2
90.81824493,5
96.61968231,2
99.520401,1
102.42111969,2
105.32183838,1
108.22255707,1
116.92472076,1
119.82543945,1
122.72615814,1
