x,y
-145.84196472,1
-123.93247986,1
-116.62931824,1
-106.89176178,1
-102.02298737,2
-92.28543854,2
-75.24472809,2
-67.94156647,1
-65.50717926,3
-60.63840485,5
-58.20401764,2
-53.33524323,2
-50.90085602,5
-48.466465,2
-46.03207779,1
-43.59769058,4
-41.16330338,2
-38.72891617,6
-36.29452896,6
-33.86014175,10
-31.42575455,5
-28.99136734,12
-26.55698013,25
-24.12259293,38
-21.68820572,53
-19.2538166,82
-16.8194294,159
-14.38504219,294
-11.95065498,518
-9.51626778,1065
-7.08188009,2706
-4.64749289,8222
-2.2131052,20961
0.22128212,33673
2.65566969,30160
5.0900569,16049
7.52444458,6535
9.95883179,2757
12.39321899,1267
14.82760715,805
17.26199341,528
19.69638252,297
22.13076973,239
24.56515694,159
26.99954414,100
29.43393135,89
31.86831856,55
34.30270767,39
36.73709488,25
39.17148209,23
41.60586929,24
44.0402565,12
46.47464371,8
48.90903091,8
51.34341812,4
53.77780533,6
56.21219254,5
58.64657974,2
65.94974518,3
68.38413239,1
73.2529068,2
78.12168121,1
82.99045563,4
87.85923004,2
92.72800446,1
97.59677887,1
