x,y
-202.64299011,1
-150.18367004,2
-131.66860962,1
-110.06771088,1
-106.98187256,1
-103.89602661,1
-94.63850403,1
-91.55265808,1
-85.38097382,1
-82.29512787,3
-79.20928955,2
-76.1234436,1
-73.03760529,2
-69.95175934,1
-66.86591339,2
-63.78007507,4
-60.69423294,4
-57.60839081,2
-54.52254486,2
-51.43670273,11
-48.3508606,6
-45.26501846,8
-42.17917633,9
-39.0933342,25
-36.00749207,26
-32.92164993,42
-29.83580589,67
-26.74996376,94
-23.66411972,183
-20.57827759,348
-17.49243546,581
-14.40659237,962
-11.32075024,1706
-8.23490715,2633
-5.14906502,3949
-2.06322217,5349
1.02262044,6621
4.10846329,7634
7.19430542,8155
10.28014851,8271
13.36599064,8062
16.45183372,7858
19.53767586,7049
22.62351799,6344
25.70936203,5460
28.79520416,4650
31.8810463,3726
34.96688843,2767
38.05273056,1962
41.13857269,1542
44.22441864,988
47.31026077,623
50.39610291,421
53.48194504,285
56.56778717,169
59.6536293,108
62.73947144,70
65.82531738,55
68.9111557,31
71.99700165,22
75.08283997,24
78.16868591,18
81.25453186,16
84.34037018,6
87.42621613,8
90.51205444,5
93.59790039,7
96.68373871,6
99.76958466,2
102.85542297,1
105.94126892,1
