x,y
-49.06216049,1
-44.50210571,3
-42.67808151,1
-40.85406113,1
-39.03003693,1
-38.11802673,2
-37.20601654,1
-36.29400253,1
-35.38199234,2
-34.46998215,1
-33.55797195,3
-32.64595795,1
-31.73394775,4
-30.82193756,1
-29.90992546,3
-28.99791527,5
-28.08590317,4
-27.17389297,4
-26.26188087,4
-25.34987068,12
-24.43785858,13
-23.52584839,19
-22.61383629,19
-21.7018261,30
-20.789814,34
-19.8778038,31
-18.9657917,58
-18.05378151,79
-17.14176941,96
-16.22975922,124
-15.31774712,166
-14.40573692,212
-13.49372482,226
-12.58171463,347
-11.66970253,452
-10.75769234,628
-9.84568024,902
-8.93367004,1226
-8.02165794,1693
-7.10964727,2415
-6.19763613,3423
-5.28562498,4697
-4.37361383,6228
-3.46160269,7892
-2.54959154,10079
-1.63758039,11021
-0.72556925,12055
0.1864419,11079
1.09845304,10123
2.01046419,8659
2.92247534,7213
3.83448648,5894
4.74649763,4576
5.65850878,3711
6.57051992,2851
7.48253107,2109
8.39454269,1556
9.30655289,1109
10.21856499,793
11.13057518,628
12.04258728,434
12.95459747,355
13.86660957,219
14.77861977,181
15.69063187,114
16.60264206,115
17.51465416,80
18.42666435,62
19.33867645,44
20.25068665,28
21.16269875,30
22.07470894,14
22.98672104,15
23.89873123,12
24.81074333,10
25.72275352,11
26.63476563,7
27.54677582,4
28.45878792,3
29.37079811,4
30.28281021,2
31.1948204,1
32.1068306,2
33.0188446,1
33.9308548,4
34.84286499,1
35.75487518,1
36.66688919,1
37.57889938,1
39.40291977,3
42.13895416,1
