x,y
-287.95498657,3
-281.51300049,1
-242.86109924,1
-223.53515625,1
-217.09317017,1
-210.65118408,1
-204.209198,2
-191.32524109,2
-184.883255,2
-178.44126892,5
-171.9992981,1
-165.55731201,2
-159.11532593,1
-152.67333984,6
-146.23136902,11
-139.78938293,10
-133.34739685,10
-126.9054184,10
-120.46343231,15
-114.02145386,14
-107.57946777,23
-101.13748932,39
-94.69550323,30
-88.25352478,40
-81.8115387,49
-75.36956024,62
-68.92757416,85
-62.4855957,110
-56.04360962,140
-49.60163116,241
-43.15964508,306
-36.71766663,478
-30.27568245,820
-23.83370018,1442
-17.39171791,2532
-10.94973564,5796
-4.50775337,15363
1.9342289,32774
8.37621117,27715
14.81819344,14675
21.2601757,8443
27.70215797,5518
34.14414215,3800
40.58612061,2632
47.02810669,1818
53.47008514,1277
59.91207123,911
66.35404968,627
72.79603577,495
79.23801422,370
85.68000031,309
92.12197876,244
98.56396484,151
105.0059433,141
111.44792938,109
117.88990784,81
124.33189392,78
130.77388,64
137.21585083,59
143.65783691,50
150.099823,44
156.54180908,47
162.98377991,38
169.42576599,24
175.86775208,24
182.30973816,22
188.75170898,16
195.19369507,12
201.63568115,17
208.07766724,6
214.51963806,5
220.96162415,8
227.40361023,4
233.84559631,4
240.28756714,7
246.72955322,5
253.17153931,3
259.61352539,3
266.05551147,7
272.49749756,4
285.38143921,5
291.82342529,3
298.26541138,1
304.70739746,1
311.14938354,2
317.59136963,3
324.03335571,2
330.47531128,2
343.35928345,1
349.80126953,3
356.24325562,2
