x,y
-393.89178467,1
-339.13592529,2
-302.63201904,1
-284.38006592,2
-266.12811279,1
-247.87617493,1
-238.75019836,2
-220.49824524,1
-211.37226868,3
-202.24629211,3
-183.99433899,2
-174.86837769,5
-165.74240112,9
-156.61642456,12
-147.490448,8
-138.36447144,16
-129.23849487,25
-120.11251831,40
-110.98654175,43
-101.86056519,42
-92.73458862,64
-83.60861206,97
-74.4826355,137
-65.35666656,163
-56.23068619,221
-47.10471344,353
-37.97873688,671
-28.85276031,1335
-19.72678566,2951
-10.6008091,8173
-1.47483397,21618
7.65114164,30805
16.77711678,20798
25.90309334,12167
35.02906799,7255
44.15504456,4099
53.28102112,2406
62.40699387,1398
71.53297424,864
80.65894318,601
89.78491974,434
98.9108963,290
108.03687286,194
117.16284943,161
126.28882599,116
135.41479492,132
144.54077148,87
153.66674805,64
162.79272461,60
171.91870117,47
181.04467773,31
190.1706543,25
199.29663086,21
208.42260742,19
217.54858398,10
226.67456055,11
235.80053711,9
244.92651367,16
254.05249023,6
263.1784668,8
272.30444336,7
281.43041992,3
290.55639648,3
299.68237305,5
308.80834961,1
317.93432617,5
327.06030273,1
336.18624878,1
345.31222534,4
363.56417847,1
381.81613159,1
390.94210815,2
418.32003784,2
463.94992065,1
473.07589722,1
482.20187378,1
518.70574951,1
