x,y
-80.35211182,1
-77.79734039,1
-67.57823181,1
-65.02345276,1
-59.91390228,2
-57.35912704,2
-54.80435181,2
-52.24957657,2
-49.69479752,3
-47.14002228,4
-44.58524704,5
-42.0304718,7
-39.47569275,18
-36.92091751,35
-34.36614227,46
-31.81136513,48
-29.25658989,87
-26.70181274,162
-24.14703751,313
-21.59226036,518
-19.03748512,878
-16.48270798,1413
-13.92793274,2375
-11.37315559,4202
-8.81838036,6427
-6.26360369,10088
-3.7088275,14940
-1.1540513,21886
1.40072489,26711
3.95550108,24406
6.51027727,20668
9.06505394,16943
11.61982918,13451
14.17460632,10633
16.72938156,8571
19.28415871,6780
21.83893394,5399
24.39371109,4234
26.94848633,3419
29.50326347,2749
32.05804062,2111
34.61281586,1666
37.16759109,1262
39.72236633,1114
42.27714539,768
44.83192062,642
47.38669586,465
49.9414711,405
52.49625015,282
55.05102539,208
57.60580063,149
60.16057587,121
62.71535492,86
65.27012634,65
67.8249054,39
70.37968445,25
72.93445587,16
75.48923492,11
78.04401398,11
80.5987854,5
83.15356445,3
85.70833588,7
88.26311493,3
90.81789398,2
93.37266541,2
95.92744446,1
98.48222351,5
101.03699493,1
103.59177399,2
106.14654541,1
126.58475494,1
136.80386353,1
141.91342163,1
147.02296448,2
159.79684448,1
175.12550354,1
