x,y
-335.84109497,1
-272.09527588,1
-259.34609985,1
-182.85113525,1
-174.35169983,1
-165.8522644,1
-161.60253906,1
-157.35281372,1
-148.8533783,1
-131.85449219,1
-114.85561371,2
-106.35617065,1
-97.8567276,1
-93.60700989,1
-89.35729218,1
-85.10756683,2
-76.60812378,2
-68.10868835,2
-63.85896683,1
-59.6092453,1
-55.35952377,2
-51.10980225,1
-46.86008453,3
-42.61036301,9
-38.36064148,21
-34.11091995,63
-29.86120033,139
-25.61148071,352
-21.36175919,843
-17.11203957,1896
-12.86231804,4515
-8.61259842,10172
-4.36287737,21157
-0.1131568,36056
4.13656378,39790
8.38628387,30587
12.6360054,20116
16.88572502,12665
21.13544655,8166
25.38516617,5353
29.6348877,3535
33.88460922,2316
38.13432693,1499
42.38404846,1000
46.63376999,661
50.88349152,437
55.13320923,283
59.38293076,188
63.63265228,118
67.88237,62
72.13209534,28
76.38181305,26
80.63153076,10
84.8812561,4
89.13097382,3
