x,y
-103.97137451,1
-93.25759888,1
-86.82933807,1
-78.25831604,1
-69.68729401,2
-65.4017868,1
-63.2590332,1
-61.11627579,1
-56.83076859,1
-52.54525757,2
-50.40250015,3
-48.25974655,4
-46.11699295,7
-43.97423553,5
-41.83148193,4
-39.68872833,7
-37.54597092,9
-35.40321732,16
-33.2604599,26
-31.1177063,26
-28.97495079,42
-26.83219719,81
-24.68944168,127
-22.54668617,195
-20.40393066,278
-18.26117706,479
-16.11842155,742
-13.97566605,1309
-11.83291149,1995
-9.69015598,3205
-7.54740143,5120
-5.40464592,8308
-3.26189113,13331
-1.1191361,26791
1.02361894,35921
3.16637397,25506
5.30912876,18057
7.45188427,14149
9.59463882,11086
11.73739433,8666
13.88014889,7360
16.02290344,6051
18.16565895,5016
20.30841446,4217
22.45116997,3542
24.59392357,2798
26.73667908,2300
28.87943459,1893
31.02219009,1598
33.1649437,1368
35.30770111,1099
37.45045471,961
39.59320831,736
41.73596573,596
43.87871933,427
46.02147293,366
48.16423035,267
50.30698395,192
52.44974136,185
54.59249496,116
56.73524857,73
58.87800598,72
61.02075958,53
63.16351318,23
65.30626678,28
67.44902802,17
69.59178162,17
71.73453522,15
73.87728882,6
76.02004242,2
78.16280365,1
80.30555725,3
82.44831085,4
84.59106445,1
86.73381805,3
88.87657166,3
91.01933289,3
95.30484009,1
99.59034729,2
101.73310852,2
110.30412292,1
