x,y
-169.42315674,1
-157.8952179,2
-146.36727905,1
-134.83932495,1
-123.31138611,1
-111.78343964,1
-100.25549316,7
-88.72754669,4
-77.19960785,8
-65.67166138,10
-54.1437149,35
-42.61577225,76
-31.08782578,258
-19.55988312,938
-8.0319376,6203
3.49600697,101603
15.02395153,30286
26.55189514,11197
38.07984161,4435
49.60778427,1519
61.13573074,318
72.6636734,90
84.19161987,28
95.71956635,18
107.24750519,12
118.77545166,5
130.3033905,7
141.8313446,6
153.35928345,3
176.41517639,1
187.94311523,3
199.47106934,1
210.99900818,1
222.52694702,1
234.05490112,2
257.11077881,1
280.16668701,1
337.80639648,2
349.33435059,1
372.39022827,1
395.44613647,2
441.55789185,1
499.19763184,1
522.25354004,1
545.30938721,1
591.42120361,1
602.94909668,1
626.00500488,1
891.14776611,1
983.37127686,1
