x,y
-93.04675293,1
-81.3850174,1
-75.55414581,1
-71.66690063,1
-67.77965546,1
-65.83603668,1
-61.94878769,1
-60.0051651,3
-58.06154251,2
-54.17429733,1
-52.23067474,4
-50.28705215,3
-48.34342957,1
-46.39980698,4
-44.45618439,5
-42.5125618,4
-40.56893921,5
-38.62531662,7
-36.68169403,9
-34.73807144,2
-32.79444885,7
-30.85082436,8
-28.90720177,13
-26.96357918,18
-25.01995659,34
-23.076334,26
-21.13271141,66
-19.18908882,79
-17.24546623,133
-15.30184269,217
-13.3582201,320
-11.41459751,597
-9.47097492,1042
-7.52735186,2186
-5.58372927,4736
-3.64010644,10295
-1.69648361,18750
0.24713904,25154
2.1907618,23886
4.13438463,17017
6.07800722,10064
8.02163029,5277
9.96525288,2799
11.90887547,1498
13.85249805,877
15.79612064,588
17.73974419,390
19.68336678,259
21.62698936,179
23.57061195,104
25.51423454,101
27.45785713,64
29.40147972,67
31.34510231,38
33.28872681,35
35.2323494,18
37.17597198,20
39.11959457,14
41.06321716,7
43.00683975,10
44.95046234,11
46.89408493,4
48.83770752,2
50.78133011,3
52.7249527,1
54.66857529,4
56.61219788,5
60.49944305,1
62.44306564,1
70.21755981,3
74.10480499,1
77.99205017,1
85.76654053,2
89.65378571,1
93.54103088,1
101.31552124,1
