x,y
-74.34033966,1
-68.72491455,1
-66.85310364,1
-63.10948563,1
-61.23767853,1
-59.36587143,2
-55.62225342,1
-53.7504425,4
-51.87863541,2
-50.00682449,4
-48.1350174,5
-46.26320648,9
-44.39139938,9
-42.51958847,13
-40.64778137,18
-38.77597046,18
-36.90416336,41
-35.03235245,53
-33.16054535,52
-31.28873634,103
-29.41692734,119
-27.54511833,167
-25.67330933,232
-23.80150032,292
-21.92969131,399
-20.05788231,582
-18.1860733,827
-16.3142643,1122
-14.44245625,1401
-12.57064724,1957
-10.69883823,2582
-8.82702923,3452
-6.9552207,4459
-5.08341169,5428
-3.21160293,6791
-1.33979416,7700
0.53201479,8356
2.40382361,8831
4.27563238,8879
6.14744139,8778
8.01924992,8156
9.89105892,7387
11.76286793,6590
13.63467693,5793
15.50648594,5000
17.37829399,4331
19.250103,3554
21.121912,2934
22.99372101,2456
24.86553001,2019
26.73733902,1685
28.60914803,1340
30.48095703,1124
32.35276413,890
34.22457504,741
36.09638214,642
37.96819305,530
39.84000015,443
41.71181107,356
43.58361816,291
45.45542908,237
47.32723618,197
49.19904709,191
51.07085419,129
52.9426651,120
54.8144722,95
56.68628311,73
58.55809021,71
60.42989731,41
62.30170822,36
64.17351532,31
66.04532623,26
67.91713715,18
69.78894043,15
71.66075134,16
73.53256226,13
75.40437317,11
77.27617645,6
79.14798737,3
81.01979828,3
82.89160919,7
84.76341248,3
86.63522339,2
88.5070343,3
90.37883759,1
92.2506485,2
95.99427032,2
97.86607361,1
99.73788452,1
103.48150635,1
105.35330963,1
112.84054565,1
