x,y
-66.52928925,1
-58.24020004,1
-56.16792679,2
-54.09565353,1
-52.02338028,3
-49.95110321,2
-45.8065567,1
-43.73428345,4
-41.66201019,6
-39.58973694,17
-37.51746368,13
-35.44519043,29
-33.37291718,32
-31.30064392,61
-29.22837067,128
-27.15609741,179
-25.08382225,267
-23.011549,418
-20.93927574,596
-18.86700249,953
-16.79472923,1479
-14.72245598,2124
-12.65018177,3113
-10.57790852,4661
-8.50563526,6849
-6.43336153,9800
-4.36108828,13721
-2.28881454,18234
-0.21654117,21942
1.85573232,22049
3.9280057,19521
6.00027943,16275
8.07255268,13665
10.14482594,10907
12.21710014,9175
14.2893734,7533
16.36164665,6239
18.43391991,5211
20.50619316,4189
22.57846642,3402
24.65074158,2858
26.72301483,2228
28.79528809,1792
30.86756134,1423
32.93983459,1161
35.01210785,956
37.0843811,729
39.15665436,571
41.22892761,474
43.30120087,373
45.37347412,286
47.44574738,219
49.51802444,204
51.5902977,147
53.66257095,129
55.73484421,110
57.80711746,68
59.87939072,58
61.95166397,48
64.02393341,52
66.09621429,28
68.16848755,30
70.2407608,25
72.31303406,21
74.38530731,13
76.45758057,14
78.52985382,8
80.60212708,14
82.67440033,15
84.74667358,19
86.81894684,11
88.89122009,9
90.96349335,6
93.0357666,4
95.10803986,2
97.18031311,2
99.25258636,2
101.32485962,4
103.39713287,3
105.46940613,2
107.54167938,3
109.61395264,2
111.68622589,1
113.75849915,3
115.8307724,1
117.90304565,1
132.40896606,1
140.69805908,1
