x,y
-62.57781601,1
-51.14112091,1
-49.50730896,1
-47.87349319,1
-46.23968124,1
-44.60586548,2
-42.97205353,3
-41.33824158,4
-39.70442581,3
-38.07061386,5
-36.4367981,6
-34.80298615,7
-33.16917038,7
-31.53535843,16
-29.90154457,25
-28.26773262,19
-26.63391876,43
-25.0001049,78
-23.36629105,93
-21.73247719,155
-20.09866333,213
-18.46485138,332
-16.83103752,485
-15.19722366,825
-13.56340981,1280
-11.9295969,1938
-10.29578304,3064
-8.66197014,4517
-7.02815628,6728
-5.3943429,10217
-3.76052928,14784
-2.12671566,26327
-0.49290222,33301
1.14091134,51595
2.77472472,19164
4.40853834,11350
6.04235172,7504
7.6761651,5271
9.30997849,3782
10.94379234,3006
12.5776062,2205
14.21141911,1705
15.84523296,1357
17.47904587,1023
19.11285973,839
20.74667358,631
22.38048744,552
24.01429939,401
25.64811325,343
27.28192711,327
28.91574097,221
30.54955482,180
32.18336868,166
33.81718063,115
35.4509964,100
37.08480835,92
38.7186203,67
40.35243607,70
41.98624802,55
43.62006378,54
45.25387573,48
46.88768768,32
48.52150345,34
50.1553154,24
51.78913116,25
53.42294312,17
55.05675507,14
56.69057083,17
58.32438278,10
59.95819855,9
61.5920105,14
63.22582245,10
64.8596344,10
66.49345398,4
68.12726593,5
69.76107788,7
71.39488983,2
73.02870178,2
74.66252136,4
76.29633331,3
77.93014526,1
81.19776917,3
82.83158875,2
86.09921265,1
87.7330246,1
89.36683655,1
91.00065613,2
92.63446808,1
100.80353546,1
