x,y
-134.77351379,1
-121.31829834,1
-112.34815216,2
-74.22505188,1
-71.98252106,2
-67.49744415,3
-63.01237488,2
-60.76984024,1
-58.5273056,1
-56.28477097,3
-54.04223633,2
-51.79969788,3
-49.55716324,2
-47.3146286,9
-45.07209396,8
-42.82955933,7
-40.58702469,12
-38.34448624,10
-36.1019516,14
-33.85941696,18
-31.61688232,28
-29.37434578,37
-27.13181114,108
-24.8892746,170
-22.64673996,243
-20.40420532,423
-18.16166878,692
-15.91913414,1323
-13.67659855,2193
-11.43406296,3711
-9.19152832,5971
-6.94899273,9280
-4.70645714,14667
-2.46392202,21681
-0.22138655,28000
2.02114868,30238
4.26368427,22638
6.50621939,17773
8.7487545,13659
10.99129009,10213
13.23382568,7638
15.47636127,5882
17.71889687,4315
19.9614315,3297
22.20396614,2560
24.44650269,1918
26.68903732,1419
28.93157387,1101
31.17410851,846
33.41664505,612
35.65917969,448
37.90171432,391
40.14424896,299
42.3867836,185
44.62932205,158
46.87185669,109
49.11439133,96
51.35692596,68
53.5994606,47
55.84199905,37
58.08453369,24
60.32706833,25
62.56960297,11
64.81214142,9
67.05467224,10
69.29721069,5
71.53974152,6
73.78227997,4
76.02481842,1
78.26734924,3
82.75241852,1
84.99495697,2
87.23749542,1
89.48002625,1
