x,y
-90.66033936,1
-86.58441162,1
-80.47051239,1
-78.43254852,2
-76.39458466,1
-72.31864929,1
-68.24272156,2
-66.20475769,2
-64.16678619,1
-62.12882614,4
-60.09085846,4
-58.05289459,2
-56.01492691,4
-53.97696304,5
-51.93899918,7
-49.90103149,2
-47.86306763,4
-45.82510376,7
-43.78713608,8
-41.74917221,9
-39.71120453,11
-37.67324066,14
-35.63527679,29
-33.59730911,21
-31.55934525,41
-29.52137947,48
-27.4834137,68
-25.44544983,112
-23.40748405,159
-21.36951828,260
-19.33155251,367
-17.29358864,490
-15.25562286,725
-13.21765709,1024
-11.17969227,1410
-9.14172649,1836
-7.10376167,2321
-5.0657959,3059
-3.02783084,3659
-0.98986554,4024
1.04809976,4678
3.08606505,5205
5.12403011,5319
7.16199589,5527
9.19996071,5401
11.23792648,5468
13.2758913,5360
15.31385708,5182
17.3518219,4929
19.38978767,4498
21.42775345,4191
23.46571732,3852
25.50368309,3376
27.54164886,3032
29.57961464,2637
31.61757851,2227
33.65554428,1794
35.69350815,1420
37.73147583,1219
39.7694397,916
41.80740738,767
43.84537125,590
45.88333511,363
47.9213028,297
49.95926666,224
51.99723053,168
54.03519821,146
56.07316208,99
58.11112976,79
60.14909363,66
62.1870575,42
64.22502136,40
66.26299286,29
68.30095673,16
70.33892059,18
72.37688446,12
74.41484833,13
76.45281219,10
78.49078369,3
80.52874756,4
82.56671143,4
84.60467529,5
86.64263916,3
90.71857452,6
92.75653839,2
94.79450226,1
96.83246613,4
98.87043762,2
100.90840149,2
102.94636536,3
104.98432922,2
107.02229309,1
113.13619232,1
