AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,MIN,Max,Mean,STD_DEV,SKEWNESS,KURTOSIS,MEDIAN,N
la_palma,N28UW018B,dtm-2m_reinterpolated_1sec_point,xxx,93.51,-0.91,1944.43,889.81,519.15,-0.08,-0.95,910.34,121591
la_palma,N28VW018B,dtm-2m_reinterpolated_1sec_point,xxx,100.00,279.31,2041.46,991.22,332.67,0.31,-0.42,965.34,130321
la_palma,N28XW018A,dtm-2m_reinterpolated_1sec_point,xxx,96.75,-1.82,2268.14,995.67,539.27,0.09,-0.61,995.34,125998
la_palma,N28XW018B,dtm-2m_reinterpolated_1sec_point,xxx,100.00,352.60,2422.16,1453.42,459.63,0.02,-0.88,1431.12,130321
la_palma,N28UW018B,dtm-2m_reinterpolated_1sec_area,xxx,93.51,-0.91,1941.41,888.65,519.20,-0.08,-0.95,908.57,121675
la_palma,N28VW018B,dtm-2m_reinterpolated_1sec_area,xxx,100.00,279.33,2042.73,991.48,332.29,0.31,-0.43,965.60,130321
la_palma,N28XW018A,dtm-2m_reinterpolated_1sec_area,xxx,96.75,-1.71,2270.47,997.06,539.61,0.09,-0.61,996.51,126074
la_palma,N28XW018B,dtm-2m_reinterpolated_1sec_area,xxx,100.00,351.55,2424.01,1452.90,459.55,0.02,-0.88,1430.35,130321
la_palma,N28UW018B,dsm_5m_point,xxx,93.51,-0.60,1942.99,870.99,533.79,-0.07,-1.01,892.42,124776
la_palma,N28VW018B,dsm_5m_point,xxx,100.00,282.58,2042.33,997.73,335.18,0.29,-0.46,973.85,130321
la_palma,N28XW018A,dsm_5m_point,xxx,96.75,-0.48,2266.52,967.58,561.40,0.06,-0.69,976.34,130317
la_palma,N28XW018B,dsm_5m_point,xxx,100.00,356.81,2421.70,1461.66,456.83,0.00,-0.88,1440.92,130321
la_palma,N28UW018B,dsm_5m_area,xxx,93.51,-0.56,1940.26,870.39,533.52,-0.07,-1.01,891.41,124785
la_palma,N28VW018B,dsm_5m_area,xxx,100.00,285.70,2041.40,997.98,334.79,0.29,-0.46,973.88,130321
la_palma,N28XW018A,dsm_5m_area,xxx,96.75,-0.52,2269.92,969.48,561.45,0.06,-0.69,977.97,130319
la_palma,N28XW018B,dsm_5m_area,xxx,100.00,357.39,2423.10,1461.16,456.76,0.00,-0.88,1440.18,130321
la_palma,N28UW018B,COP,dtm-2m_reinterpolated_1sec_point,93.51,-1.49,1940.57,848.68,494.87,0.19,-0.95,807.37,141917
la_palma,N28VW018B,COP,dtm-2m_reinterpolated_1sec_point,100.00,-3.20,2039.80,806.38,427.81,0.15,-0.67,805.84,184000
la_palma,N28XW018A,COP,dtm-2m_reinterpolated_1sec_point,96.75,-2.52,2421.06,1108.62,564.47,0.17,-0.82,1087.89,323632
la_palma,N28XW018B,COP,dtm-2m_reinterpolated_1sec_point,100.00,-2.52,2421.06,1135.47,600.90,0.10,-0.95,1120.55,205458
la_palma,N28UW018B,COP,dsm_5m_point,93.51,-1.49,1940.57,848.68,494.87,0.19,-0.95,807.37,141917
la_palma,N28VW018B,COP,dsm_5m_point,100.00,-3.20,2039.80,806.38,427.81,0.15,-0.67,805.84,184000
la_palma,N28XW018A,COP,dsm_5m_point,96.75,-2.52,2421.06,1108.62,564.47,0.17,-0.82,1087.89,323632
la_palma,N28XW018B,COP,dsm_5m_point,100.00,-2.52,2421.06,1135.47,600.90,0.10,-0.95,1120.55,205458
la_palma,N28UW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,-5.14,1936.60,479.38,562.59,0.84,-0.62,209.31,253061
la_palma,N28VW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-12.01,2042.67,591.27,513.00,0.36,-1.01,556.46,253058
la_palma,N28XW018A,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,-8.70,2431.36,943.81,657.76,0.14,-0.99,951.60,383021
la_palma,N28XW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-6.43,2431.36,928.39,702.04,0.19,-1.13,926.63,253061
la_palma,N28UW018B,SRTM_egm2008,dsm_5m_point,93.51,-5.14,1936.60,501.52,565.75,0.77,-0.72,297.39,241870
la_palma,N28VW018B,SRTM_egm2008,dsm_5m_point,100.00,-12.01,2042.67,618.53,508.46,0.30,-1.01,599.50,241867
la_palma,N28XW018A,SRTM_egm2008,dsm_5m_point,96.75,-8.70,2431.36,972.15,646.66,0.12,-0.95,982.38,371830
la_palma,N28XW018B,SRTM_egm2008,dsm_5m_point,100.00,-6.43,2431.36,971.24,688.58,0.13,-1.09,982.10,241870
la_palma,N28UW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,93.51,-6.10,1943.61,478.02,561.52,0.84,-0.62,206.93,253061
la_palma,N28VW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,100.00,1.44,2040.67,590.73,512.04,0.36,-1.01,556.29,253061
la_palma,N28XW018A,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,96.75,-5.48,2430.36,941.25,656.85,0.15,-0.99,948.37,383021
la_palma,N28XW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,100.00,-5.48,2430.36,926.92,700.72,0.19,-1.13,924.44,253061
la_palma,N28UW018B,ALOS_egm2008,dsm_5m_area,93.51,-6.10,1943.61,500.10,564.69,0.77,-0.72,295.51,241870
la_palma,N28VW018B,ALOS_egm2008,dsm_5m_area,100.00,1.58,2040.67,617.97,507.48,0.30,-1.01,599.77,241870
la_palma,N28XW018A,ALOS_egm2008,dsm_5m_area,96.75,-5.48,2430.36,969.52,645.83,0.12,-0.95,978.45,371830
la_palma,N28XW018B,ALOS_egm2008,dsm_5m_area,100.00,-5.48,2430.36,969.71,687.26,0.13,-1.09,978.96,241870
la_palma,N28UW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,-4.09,1930.60,478.39,561.86,0.84,-0.62,208.01,253061
la_palma,N28VW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-15.98,2038.67,590.07,512.34,0.36,-1.01,554.41,253060
la_palma,N28XW018A,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,-40.42,2418.36,941.78,657.43,0.15,-0.99,949.45,383021
la_palma,N28XW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-40.42,2418.36,927.12,701.56,0.19,-1.13,924.68,253061
la_palma,N28UW018B,NASA_egm2008,dsm_5m_point,93.51,-4.09,1930.60,500.48,565.03,0.77,-0.72,295.56,241870
la_palma,N28VW018B,NASA_egm2008,dsm_5m_point,100.00,-15.98,2038.67,617.28,507.83,0.30,-1.01,598.00,241869
la_palma,N28XW018A,NASA_egm2008,dsm_5m_point,96.75,-40.42,2418.36,970.06,646.42,0.12,-0.95,979.56,371830
la_palma,N28XW018B,NASA_egm2008,dsm_5m_point,100.00,-40.42,2418.36,969.92,688.15,0.14,-1.09,980.14,241870
la_palma,N28UW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,-4.61,1931.60,478.14,564.10,0.84,-0.61,201.67,253061
la_palma,N28VW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,1.44,2038.67,591.46,514.72,0.37,-1.01,553.31,253061
la_palma,N28XW018A,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,-7.36,2418.35,944.25,661.16,0.15,-1.00,949.02,383021
