AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,MIN,Max,Mean,STD_DEV,SKEWNESS,KURTOSIS,MEDIAN,N
la_palma,N28UW018B,md_dtm-2m_1sec_point,xxx,xxx,87.18,1.17,1941.68,952.18,478.53,-0.06,-0.87,964.53,113612
la_palma,N28VW018B,md_dtm-2m_1sec_point,xxx,xxx,100.00,280.30,2040.72,991.20,332.65,0.31,-0.42,965.29,130321
la_palma,N28XW018A,md_dtm-2m_1sec_point,xxx,xxx,91.08,1.70,2266.52,1056.75,493.90,0.25,-0.63,1036.77,118702
la_palma,N28XW018B,md_dtm-2m_1sec_point,xxx,xxx,100.00,354.37,2420.87,1453.49,459.53,0.02,-0.88,1431.05,130320
la_palma,N28UW018B,md_dtm-2m_1sec_area,xxx,xxx,87.18,1.16,1939.05,951.27,478.50,-0.05,-0.87,963.05,113649
la_palma,N28VW018B,md_dtm-2m_1sec_area,xxx,xxx,100.00,283.08,2040.65,991.45,332.27,0.31,-0.43,965.67,130321
la_palma,N28XW018A,md_dtm-2m_1sec_area,xxx,xxx,91.08,1.65,2269.60,1058.08,494.22,0.25,-0.63,1037.85,118787
la_palma,N28XW018B,md_dtm-2m_1sec_area,xxx,xxx,100.00,356.32,2421.96,1452.98,459.46,0.02,-0.88,1430.58,130321
la_palma,N28UW018B,md_dtm-2m_1sec_point,xxx,xxx,87.18,1.17,1941.68,952.18,478.53,-0.06,-0.87,964.53,113612
la_palma,N28VW018B,md_dtm-2m_1sec_point,xxx,xxx,100.00,280.30,2040.72,991.20,332.65,0.31,-0.42,965.29,130321
la_palma,N28XW018A,md_dtm-2m_1sec_point,xxx,xxx,91.08,1.70,2266.52,1056.75,493.90,0.25,-0.63,1036.77,118702
la_palma,N28XW018B,md_dtm-2m_1sec_point,xxx,xxx,100.00,354.37,2420.87,1453.49,459.53,0.02,-0.88,1431.05,130320
la_palma,N28UW018B,md_dtm-2m_1sec_area,xxx,xxx,87.18,1.16,1939.05,951.27,478.50,-0.05,-0.87,963.05,113649
la_palma,N28VW018B,md_dtm-2m_1sec_area,xxx,xxx,100.00,283.08,2040.65,991.45,332.27,0.31,-0.43,965.67,130321
la_palma,N28XW018A,md_dtm-2m_1sec_area,xxx,xxx,91.08,1.65,2269.60,1058.08,494.22,0.25,-0.63,1037.85,118787
la_palma,N28XW018B,md_dtm-2m_1sec_area,xxx,xxx,100.00,356.32,2421.96,1452.98,459.46,0.02,-0.88,1430.58,130321
la_palma,N28UW018B,COP,md_dtm-2m_1sec_point,DTM,87.18,-1.49,1940.57,848.68,494.87,0.19,-0.95,807.37,141917
la_palma,N28VW018B,COP,md_dtm-2m_1sec_point,DTM,100.00,-3.20,2039.80,806.38,427.81,0.15,-0.67,805.84,184000
la_palma,N28XW018A,COP,md_dtm-2m_1sec_point,DTM,91.08,-2.52,2421.06,1108.62,564.47,0.17,-0.82,1087.89,323632
la_palma,N28XW018B,COP,md_dtm-2m_1sec_point,DTM,100.00,-2.52,2421.06,1135.47,600.90,0.10,-0.95,1120.55,205458
la_palma,N28UW018B,COP,md_dtm-2m_1sec_point,DSM,87.18,-1.49,1940.57,848.68,494.87,0.19,-0.95,807.37,141917
la_palma,N28VW018B,COP,md_dtm-2m_1sec_point,DSM,100.00,-3.20,2039.80,806.38,427.81,0.15,-0.67,805.84,184000
la_palma,N28XW018A,COP,md_dtm-2m_1sec_point,DSM,91.08,-2.52,2421.06,1108.62,564.47,0.17,-0.82,1087.89,323632
la_palma,N28XW018B,COP,md_dtm-2m_1sec_point,DSM,100.00,-2.52,2421.06,1135.47,600.90,0.10,-0.95,1120.55,205458
la_palma,N28UW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,87.18,-5.14,1936.60,479.38,562.59,0.84,-0.62,209.31,253061
la_palma,N28VW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-12.01,2042.67,591.27,513.00,0.36,-1.01,556.46,253058
la_palma,N28XW018A,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,91.08,-8.70,2431.36,943.81,657.76,0.14,-0.99,951.60,383021
la_palma,N28XW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-6.43,2431.36,928.39,702.04,0.19,-1.13,926.63,253061
la_palma,N28UW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,87.18,-5.14,1936.60,479.38,562.59,0.84,-0.62,209.31,253061
la_palma,N28VW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-12.01,2042.67,591.27,513.00,0.36,-1.01,556.46,253058
la_palma,N28XW018A,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,91.08,-8.70,2431.36,943.81,657.76,0.14,-0.99,951.60,383021
la_palma,N28XW018B,SRTM_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-6.43,2431.36,928.39,702.04,0.19,-1.13,926.63,253061
la_palma,N28UW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,87.18,-6.10,1943.61,478.02,561.52,0.84,-0.62,206.93,253061
la_palma,N28VW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,100.00,1.44,2040.67,590.73,512.04,0.36,-1.01,556.29,253061
la_palma,N28XW018A,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,91.08,-5.48,2430.36,941.25,656.85,0.15,-0.99,948.37,383021
la_palma,N28XW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DTM,100.00,-5.48,2430.36,926.92,700.72,0.19,-1.13,924.44,253061
la_palma,N28UW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,87.18,-6.10,1943.61,478.02,561.52,0.84,-0.62,206.93,253061
la_palma,N28VW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,100.00,1.44,2040.67,590.73,512.04,0.36,-1.01,556.29,253061
la_palma,N28XW018A,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,91.08,-5.48,2430.36,941.25,656.85,0.15,-0.99,948.37,383021
la_palma,N28XW018B,ALOS_egm2008,md_dtm-2m_1sec_area,DSM,100.00,-5.48,2430.36,926.92,700.72,0.19,-1.13,924.44,253061
la_palma,N28UW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,87.18,-4.09,1930.60,478.39,561.86,0.84,-0.62,208.01,253061
la_palma,N28VW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-15.98,2038.67,590.07,512.34,0.36,-1.01,554.41,253060
la_palma,N28XW018A,NASA_egm2008,md_dtm-2m_1sec_point,DTM,91.08,-40.42,2418.36,941.78,657.43,0.15,-0.99,949.45,383021
la_palma,N28XW018B,NASA_egm2008,md_dtm-2m_1sec_point,DTM,100.00,-40.42,2418.36,927.12,701.56,0.19,-1.13,924.68,253061
la_palma,N28UW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,87.18,-4.09,1930.60,478.39,561.86,0.84,-0.62,208.01,253061
la_palma,N28VW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-15.98,2038.67,590.07,512.34,0.36,-1.01,554.41,253060
la_palma,N28XW018A,NASA_egm2008,md_dtm-2m_1sec_point,DSM,91.08,-40.42,2418.36,941.78,657.43,0.15,-0.99,949.45,383021
la_palma,N28XW018B,NASA_egm2008,md_dtm-2m_1sec_point,DSM,100.00,-40.42,2418.36,927.12,701.56,0.19,-1.13,924.68,253061
la_palma,N28UW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,87.18,-4.61,1931.60,478.14,564.10,0.84,-0.61,201.67,253061
la_palma,N28VW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,100.00,1.44,2038.67,591.46,514.72,0.37,-1.01,553.31,253061
la_palma,N28XW018A,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,91.08,-7.36,2418.35,944.25,661.16,0.15,-1.00,949.02,383021
la_palma,N28XW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DTM,100.00,1.99,2418.35,929.42,705.35,0.19,-1.14,926.68,253061
la_palma,N28UW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,87.18,-4.61,1931.60,478.14,564.10,0.84,-0.61,201.67,253061
la_palma,N28VW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,100.00,1.44,2038.67,591.46,514.72,0.37,-1.01,553.31,253061
la_palma,N28XW018A,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,91.08,-7.36,2418.35,944.25,661.16,0.15,-1.00,949.02,383021
la_palma,N28XW018B,ASTER_egm2008,md_dtm-2m_1sec_point,DSM,100.00,1.99,2418.35,929.42,705.35,0.19,-1.14,926.68,253061
