AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,REF_SLOPE,GRID_FULL,RUFD_MIN,RUFD_Max,RUFD_Mean,RUFD_AVG,RUFD_STD,RUFD_MED,RUFD_RMSE,RUFD_MAE,RUFD_AB_MD,RUFD_AB_MN,RUFD_N,RUFD_LE90,SLOPE_PC
brazil,S08PW038C,COP,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,ALL,99.11,-9.56,9.04,0.12,0.51,0.79,0.14,0.80,0.53,0.37,0.12,128518,1.13,100
brazil,S08PW038C,COP,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,FLAT,99.11,-8.36,6.69,0.17,0.45,0.63,0.15,0.66,0.47,0.32,0.17,116102,0.99,90.34
brazil,S08PW038C,COP,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,STEEP,99.11,-9.56,9.04,-0.43,1.13,1.57,-0.31,1.63,1.16,0.03,0.43,10987,2.55,8.55
brazil,S08PW038C,COP,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,ALL,99.11,-43.50,50.49,-0.26,0.47,0.75,-0.22,0.79,0.51,0.35,0.26,128518,1.1,100
brazil,S08PW038C,COP,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,FLAT,99.11,-43.50,15.59,-0.25,0.40,0.60,-0.22,0.65,0.45,0.30,0.25,115656,0.95,89.99
brazil,S08PW038C,COP,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,STEEP,99.11,-41.53,50.49,-0.43,1.09,1.56,-0.36,1.61,1.13,0.03,0.43,11436,2.43,8.9
brazil,S08PW038C,SRTM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,ALL,99.11,-14.85,10.12,0.67,0.90,1.25,0.78,1.42,1.12,0.96,0.67,128518,2.17,100
brazil,S08PW038C,SRTM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,FLAT,99.11,-9.45,7.57,0.77,0.79,1.05,0.82,1.30,1.06,0.87,0.77,116102,2.05,90.34
brazil,S08PW038C,SRTM,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,STEEP,99.11,-14.85,10.12,-0.37,1.75,2.30,-0.29,2.33,1.77,0.08,0.37,10987,3.76,8.55
brazil,S08PW038C,SRTM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,ALL,99.11,-43.22,53.42,0.28,0.88,1.24,0.36,1.27,0.93,0.73,0.28,128518,1.93,100
brazil,S08PW038C,SRTM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,FLAT,99.11,-43.22,16.50,0.35,0.78,1.05,0.39,1.10,0.85,0.64,0.35,115656,1.75,89.99
brazil,S08PW038C,SRTM,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,STEEP,99.11,-34.69,53.42,-0.37,1.75,2.33,-0.32,2.36,1.77,0.06,0.37,11436,3.7,8.9
brazil,S08PW038C,ALOS,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_area,DTM,ALL,99.11,-7.70,17.12,0.51,0.57,0.91,0.45,1.04,0.71,0.54,0.51,128162,1.46,100
brazil,S08PW038C,ALOS,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_area,DTM,FLAT,99.11,-5.29,17.12,0.53,0.52,0.82,0.46,0.98,0.67,0.48,0.53,116042,1.35,90.54
brazil,S08PW038C,ALOS,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_area,DTM,STEEP,99.11,-7.70,9.89,0.17,1.08,1.46,0.18,1.47,1.09,0.04,0.17,11041,2.36,8.61
brazil,S08PW038C,ALOS,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_area,DSM,ALL,99.11,-47.08,28.03,0.12,0.58,0.91,0.10,0.92,0.58,0.41,0.12,128162,1.23,100
brazil,S08PW038C,ALOS,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_area,DSM,FLAT,99.11,-47.08,16.74,0.11,0.54,0.85,0.09,0.86,0.54,0.36,0.11,115653,1.12,90.24
brazil,S08PW038C,ALOS,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_area,DSM,STEEP,99.11,-29.18,28.03,0.18,0.96,1.35,0.18,1.36,0.97,0.03,0.18,11439,2.02,8.93
brazil,S08PW038C,NASA,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,ALL,99.11,-12.19,8.11,0.59,0.90,1.25,0.71,1.38,1.08,0.93,0.59,128518,2.09,100
brazil,S08PW038C,NASA,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,FLAT,99.11,-8.91,7.64,0.68,0.79,1.05,0.75,1.25,1.01,0.84,0.68,116102,1.95,90.34
brazil,S08PW038C,NASA,md_pe3d_mdt_1m_elev_S08PW038C_1m_1sec_point,DTM,STEEP,99.11,-12.19,8.11,-0.34,1.77,2.30,-0.31,2.33,1.78,0.08,0.34,10987,3.73,8.55
brazil,S08PW038C,NASA,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,ALL,99.11,-42.49,51.83,0.20,0.88,1.23,0.29,1.25,0.91,0.71,0.20,128518,1.88,100
brazil,S08PW038C,NASA,md_pe3d_mds_1m_elev_S08PW038C_1m_1sec_point,DSM,FLAT,99.11,-42.49,17.86,0.26,0.78,1.04,0.32,1.07,0.82,0.63,0.26,115656,1.69,89.99
