AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,SMD_MIN,SMD_Max,SMD_Mean,SMD_AVG,SMD_STD,SMD_MEDIAN,SMD_RMSE,SMD_MAE,SMD_AB_MD,N
la_palma,N28UW018B,COP,dtm-2m_reinterpolated_1sec_point,93.51,-136.71,145.43,0.52,4.71,7.80,0.32,7.82,4.73,2.84,158210
la_palma,N28VW018B,COP,dtm-2m_reinterpolated_1sec_point,100.00,-194.52,289.62,2.41,8.81,16.20,0.48,16.38,8.54,3.89,193798
la_palma,N28XW018A,COP,dtm-2m_reinterpolated_1sec_point,96.75,-277.41,469.48,7.67,16.85,27.02,2.23,28.09,16.27,8.62,347608
la_palma,N28XW018B,COP,dtm-2m_reinterpolated_1sec_point,100.00,-184.67,469.48,9.33,19.03,29.67,2.89,31.10,18.37,9.98,222151
la_palma,N28UW018B,COP,dsm_5m_point,93.51,-134.57,158.74,0.39,4.12,7.10,0.07,7.11,4.09,2.29,177419
la_palma,N28VW018B,COP,dsm_5m_point,100.00,-193.99,266.04,1.95,8.25,15.69,0.15,15.81,7.98,3.48,201290
la_palma,N28XW018A,COP,dsm_5m_point,96.75,-279.86,441.09,6.31,16.08,26.08,1.16,26.83,15.34,7.95,356369
la_palma,N28XW018B,COP,dsm_5m_point,100.00,-171.80,441.09,7.87,18.23,28.71,1.59,29.77,17.33,9.14,226409
la_palma,N28UW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,-351.66,168.79,1.20,6.38,10.00,0.45,10.07,6.36,4.28,158210
la_palma,N28VW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-238.40,278.83,4.57,10.49,17.78,1.29,18.36,10.09,5.01,193798
la_palma,N28XW018A,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,-281.61,455.78,10.36,18.10,28.21,4.85,30.05,18.09,10.25,347608
la_palma,N28XW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,-214.08,455.78,12.03,20.46,30.94,5.75,33.20,20.50,12.03,222151
