AREA,DEMIX_TILE,DEM,REF_DEM,GRID_FULL,MIN,Max,Mean,STD_DEV,SKEWNESS,KURTOSIS,MEDIAN,N
la_palma,N28UW018B,dtm-2m_reinterpolated_1sec_point,xxx,93.51,0.00,242.62,34.93,20.20,0.90,2.85,33.31,121492
la_palma,N28VW018B,dtm-2m_reinterpolated_1sec_point,xxx,100.00,0.08,402.03,43.00,35.10,1.81,6.19,32.04,130321
la_palma,N28XW018A,dtm-2m_reinterpolated_1sec_point,xxx,96.75,0.01,483.81,45.97,35.45,2.35,10.75,37.45,125818
la_palma,N28XW018B,dtm-2m_reinterpolated_1sec_point,xxx,100.00,0.25,538.06,78.00,46.81,1.93,6.59,70.98,130321
la_palma,N28UW018B,dtm-2m_reinterpolated_1sec_area,xxx,93.51,0.01,250.78,34.92,20.20,0.91,3.02,33.30,121576
la_palma,N28VW018B,dtm-2m_reinterpolated_1sec_area,xxx,100.00,0.11,408.29,42.92,35.02,1.81,6.28,32.02,130321
la_palma,N28XW018A,dtm-2m_reinterpolated_1sec_area,xxx,96.75,0.01,491.21,46.02,35.51,2.35,10.79,37.44,125877
la_palma,N28XW018B,dtm-2m_reinterpolated_1sec_area,xxx,100.00,0.40,536.64,78.07,46.83,1.93,6.59,71.04,130321
la_palma,N28UW018B,dsm_5m_point,xxx,93.51,0.00,238.51,33.93,20.48,0.78,2.33,32.76,124816
la_palma,N28VW018B,dsm_5m_point,xxx,100.00,0.08,397.17,42.54,34.30,1.84,6.36,32.46,130321
la_palma,N28XW018A,dsm_5m_point,xxx,96.75,0.00,456.43,43.40,35.17,2.22,9.79,35.42,130321
la_palma,N28XW018B,dsm_5m_point,xxx,100.00,0.64,515.03,76.90,46.19,1.88,6.22,69.91,130321
la_palma,N28UW018B,dsm_5m_area,xxx,93.51,0.00,233.20,33.94,20.47,0.78,2.34,32.74,124822
la_palma,N28VW018B,dsm_5m_area,xxx,100.00,0.08,393.91,42.46,34.20,1.84,6.34,32.47,130321
la_palma,N28XW018A,dsm_5m_area,xxx,96.75,0.00,470.59,43.45,35.17,2.21,9.67,35.37,130321
la_palma,N28XW018B,dsm_5m_area,xxx,100.00,0.51,508.73,76.96,46.21,1.89,6.25,69.95,130321
la_palma,N28UW018B,COP,dtm-2m_reinterpolated_1sec_point,93.51,0.00,235.03,35.20,18.13,1.41,4.83,32.27,143009
la_palma,N28VW018B,COP,dtm-2m_reinterpolated_1sec_point,100.00,0.00,310.36,35.68,27.81,1.47,2.80,26.23,184685
la_palma,N28XW018A,COP,dtm-2m_reinterpolated_1sec_point,96.75,0.00,339.20,53.80,32.82,1.45,3.68,47.13,324700
la_palma,N28XW018B,COP,dtm-2m_reinterpolated_1sec_point,100.00,0.00,315.02,59.69,33.76,1.22,2.78,55.50,206117
la_palma,N28UW018B,COP,dsm_5m_point,93.51,0.00,235.03,35.20,18.13,1.41,4.83,32.27,143009
la_palma,N28VW018B,COP,dsm_5m_point,100.00,0.00,310.36,35.68,27.81,1.47,2.80,26.23,184685
la_palma,N28XW018A,COP,dsm_5m_point,96.75,0.00,339.20,53.80,32.82,1.45,3.68,47.13,324700
la_palma,N28XW018B,COP,dsm_5m_point,100.00,0.00,315.02,59.69,33.76,1.22,2.78,55.50,206117
la_palma,N28UW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,0.01,419.94,19.47,21.97,1.46,6.68,16.25,253061
la_palma,N28VW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,0.01,391.23,24.39,27.24,1.94,6.43,17.36,253061
la_palma,N28XW018A,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,0.00,443.90,43.17,35.77,1.40,3.51,36.16,383021
la_palma,N28XW018B,SRTM_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,0.00,344.04,46.24,38.28,1.13,2.30,40.97,253061
la_palma,N28UW018B,SRTM_egm2008,dsm_5m_point,93.51,0.01,419.94,20.37,22.06,1.42,6.69,18.28,241870
la_palma,N28VW018B,SRTM_egm2008,dsm_5m_point,100.00,0.01,391.23,25.52,27.34,1.92,6.37,18.46,241870
la_palma,N28XW018A,SRTM_egm2008,dsm_5m_point,96.75,0.00,443.90,44.47,35.50,1.42,3.63,37.25,371830
la_palma,N28XW018B,SRTM_egm2008,dsm_5m_point,100.00,0.00,344.04,48.38,37.81,1.14,2.44,43.06,241870
la_palma,N28UW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,93.51,0.01,238.93,19.95,22.44,1.17,2.07,16.37,253061
la_palma,N28VW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,100.00,0.01,320.41,25.66,28.69,1.76,4.57,17.58,253061
la_palma,N28XW018A,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,96.75,0.00,410.82,48.29,39.75,1.30,3.14,40.93,383021
la_palma,N28XW018B,ALOS_egm2008,dtm-2m_reinterpolated_1sec_area,100.00,0.00,389.34,51.79,42.49,1.04,2.04,47.14,253061
la_palma,N28UW018B,ALOS_egm2008,dsm_5m_area,93.51,0.01,238.93,20.87,22.53,1.12,2.00,18.53,241870
la_palma,N28VW018B,ALOS_egm2008,dsm_5m_area,100.00,0.01,320.41,26.84,28.80,1.73,4.48,18.71,241870
la_palma,N28XW018A,ALOS_egm2008,dsm_5m_area,96.75,0.00,410.82,49.75,39.44,1.31,3.26,42.40,371830
la_palma,N28XW018B,ALOS_egm2008,dsm_5m_area,100.00,0.00,389.34,54.19,41.94,1.05,2.19,49.81,241870
la_palma,N28UW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,0.01,346.64,19.37,21.69,1.27,3.56,16.26,253061
la_palma,N28VW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,0.00,353.47,24.31,27.28,2.01,6.94,17.20,253061
la_palma,N28XW018A,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,0.00,785.88,43.36,39.05,3.67,43.67,35.92,383021
la_palma,N28XW018B,NASA_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,0.00,355.13,46.15,38.40,1.17,2.48,40.87,253061
la_palma,N28UW018B,NASA_egm2008,dsm_5m_point,93.51,0.01,346.64,20.26,21.78,1.22,3.52,18.28,241870
la_palma,N28VW018B,NASA_egm2008,dsm_5m_point,100.00,0.00,353.47,25.43,27.38,1.99,6.87,18.32,241870
la_palma,N28XW018A,NASA_egm2008,dsm_5m_point,96.75,0.00,785.88,44.67,38.89,3.77,45.30,37.01,371830
la_palma,N28XW018B,NASA_egm2008,dsm_5m_point,100.00,0.00,355.13,48.29,37.95,1.18,2.62,42.94,241870
la_palma,N28UW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,93.51,0.01,324.32,19.40,22.15,1.30,3.27,15.58,253061
la_palma,N28VW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,0.00,323.60,23.89,26.39,1.81,5.02,17.27,253061
la_palma,N28XW018A,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,96.75,0.00,453.01,42.29,35.65,1.40,3.48,35.22,383021
la_palma,N28XW018B,ASTER_egm2008,dtm-2m_reinterpolated_1sec_point,100.00,0.00,355.72,45.32,38.03,1.13,2.28,39.65,253061
la_palma,N28UW018B,ASTER_egm2008,dsm_5m_point,93.51,0.01,324.32,20.30,22.25,1.25,3.21,17.81,241870
la_palma,N28VW018B,ASTER_egm2008,dsm_5m_point,100.00,0.00,323.60,24.99,26.48,1.78,4.94,18.38,241870
la_palma,N28XW018A,ASTER_egm2008,dsm_5m_point,96.75,0.00,453.01,43.57,35.41,1.41,3.59,36.29,371830
la_palma,N28XW018B,ASTER_egm2008,dsm_5m_point,100.00,0.00,355.72,47.42,37.60,1.14,2.41,41.66,241870
la_palma,N28UW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,93.51,0.00,235.73,34.70,17.87,1.40,4.77,31.80,142724
la_palma,N28VW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,100.00,0.00,378.82,34.79,27.85,1.65,4.27,25.18,184689
la_palma,N28XW018A,FABDEM,dtm-2m_reinterpolated_1sec_point,96.75,0.00,362.23,53.13,33.13,1.44,3.44,45.88,324665
la_palma,N28XW018B,FABDEM,dtm-2m_reinterpolated_1sec_point,100.00,0.00,362.23,59.30,34.18,1.23,2.83,54.91,206127
la_palma,N28UW018B,FABDEM,dsm_5m_point,93.51,0.00,235.73,34.70,17.87,1.40,4.77,31.80,142724
la_palma,N28VW018B,FABDEM,dsm_5m_point,100.00,0.00,378.82,34.79,27.85,1.65,4.27,25.18,184689
la_palma,N28XW018A,FABDEM,dsm_5m_point,96.75,0.00,362.23,53.13,33.13,1.44,3.44,45.88,324665
la_palma,N28XW018B,FABDEM,dsm_5m_point,100.00,0.00,362.23,59.30,34.18,1.23,2.83,54.91,206127
